#,repository_owner,repository_name,source_dataset,stargazers_count,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
1,cortesi,musq,agents,7,https://github.com/cortesi/musq/blob/main/AGENTS.md,Test,Development Process,Maintanability,Implementation Details,,,,,,,,,,,
2,Rello,analytics,agents,136,https://github.com/Rello/analytics/blob/master/AGENTS.md,Architecture,Claude/AI Integration,Development Process,Documentation,,,,,,,,,,,
3,seasonedcc,remix-forms,agents,515,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,Build & Run,Configuration & Environment,Implementation Details,Test,Architecture,Development Process,Debugging,Maintanability,Documentation,,,,,,
4,aavetis,PRarena,copilot-instructions,1652,https://github.com/aavetis/PRarena/blob/main/.github/copilot-instructions.md,Configuration & Environment,Build & Run,,,,,,,,,,,,,
5,mirage335-colossus,ubiquitous_bash,agents,6603,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,System Overview,Architecture,Implementation Details,Debugging,Test,Development Process,Documentation,Build & Run,,,,,,,
6,KarlTDebiec,Scinoephile,agents,32,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,Build & Run,Test,Implementation Details,Development Process,Documentation,Claude/AI Integration,Configuration & Environment,,,,,,,,
7,blockscout,mcp-server,agents,6,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,Architecture,System Overview,,,,,,,,,,,,,
8,sunbeam-labs,sunbeam,agents,174,https://github.com/sunbeam-labs/sunbeam/blob/main/AGENTS.md,System Overview,Architecture,Development Process,Test,Configuration & Environment,,,,,,,,,,
9,FarmBot,Farmbot-Web-App,agents,12,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,Configuration & Environment,Implementation Details,Test,,,,,,,,,,,,
10,open5e,open5e-api,agents,953,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,System Overview,Implementation Details,Build & Run,Project Management,Development Process,,,,,,,,,,
11,sequinstream,sequin,agents,173,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,Build & Run,Test,Implementation Details,Development Process,,,,,,,,,,,
12,netz98,n98-magerun2,copilot-instructions,11422,https://github.com/netz98/n98-magerun2/blob/master/.github/copilot-instructions.md,Configuration & Environment,Build & Run,Test,Development Process,Implementation Details,Documentation,Architecture,Deployment and Operations,Debugging,,,,,,
13,SwitchbackTech,compass,agents,1693,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,Architecture,Implementation Details,Configuration & Environment,Test,Build & Run,Development Process,Deployment and Operations,Maintanability,,,,,,,
14,tracking202,prosper202,agents,386,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,System Overview,Architecture,Implementation Details,Test,Documentation,Development Process,Maintanability,Claude/AI Integration,Project Management,,,,,,
15,LocalSymmetry,lofn,agents,198,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,System Overview,Architecture,Configuration & Environment,Deployment and Operations,Build & Run,,,,,,,,,,
16,Pirate-Weather,pirate-weather-code,agents,11,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,Maintanability,Implementation Details,Test,,,,,,,,,,,,
17,samuelstevens,biobench,agents,13,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,Implementation Details,Debugging,Test,Architecture,Development Process,Maintanability,,,,,,,,,
18,Pedal-Intelligence,saypi-userscript,agents,36,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,Build & Run,Test,Configuration & Environment,Architecture,System Overview,Claude/AI Integration,,,,,,,,,
19,bugsink,bugsink,copilot-instructions,11,https://github.com/bugsink/bugsink/blob/main/.github/copilot-instructions.md,Implementation Details,Test,Architecture,UI/UX,Development Process,System Overview,Build & Run,,,,,,,,
20,windmill-labs,windmill,agents,8,https://github.com/windmill-labs/windmill/blob/main/CLAUDE.md,System Overview,Implementation Details,Maintanability,,,,,,,,,,,,
21,sapientpants,sonarqube-mcp-server,claude,19,https://github.com/sapientpants/sonarqube-mcp-server/blob/main/CLAUDE.md,System Overview,Claude/AI Integration,Implementation Details,Architecture,Configuration & Environment,Performance,Test,Maintanability,Deployment and Operations,Security,Development Process,Build & Run,,,
22,slick,slick,claude,5968,https://github.com/slick/slick/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Configuration & Environment,Implementation Details,Debugging,Claude/AI Integration,Development Process,Performance,,,,,
23,geeknik,map-think-do,claude,10,https://github.com/geeknik/map-think-do/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Maintanability,Architecture,Security,Claude/AI Integration,Documentation,Deployment and Operations,,,,,,
24,tphakala,birdnet-go,claude,539,https://github.com/tphakala/birdnet-go/blob/HEAD/frontend/src/lib/desktop/components/CLAUDE.md,Architecture,Implementation Details,Test,,,,,,,,,,,,
25,amittell,firewalla-mcp-server,claude,14838,https://github.com/amittell/firewalla-mcp-server/blob/main/CLAUDE.md,Documentation,Claude/AI Integration,System Overview,Architecture,Build & Run,Configuration & Environment,Test,Implementation Details,Debugging,Development Process,Performance,Project Management,Maintanability,Deployment and Operations,
26,meilisearch,meilisearch-mcp,claude,97,https://github.com/meilisearch/meilisearch-mcp/blob/main/CLAUDE.md,Development Process,Test,System Overview,Build & Run,Configuration & Environment,Architecture,Maintanability,Implementation Details,,,,,,,
27,spylang,spy,claude,2667,https://github.com/spylang/spy/blob/main/CLAUDE.md,Claude/AI Integration,Build & Run,Test,Implementation Details,Development Process,,,,,,,,,,
28,masc-ucsc,hagent,claude,6,https://github.com/masc-ucsc/hagent/blob/main/CLAUDE.md,Test,Build & Run,Configuration & Environment,Architecture,Implementation Details,,,,,,,,,,
29,ComposioHQ,composio,claude,615,https://github.com/ComposioHQ/composio/blob/master/CLAUDE.md,System Overview,Documentation,Development Process,Configuration & Environment,Implementation Details,Maintanability,Build & Run,Test,Architecture,,,,,,
30,gensx-inc,gensx,claude,8,https://github.com/gensx-inc/gensx/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Configuration & Environment,Architecture,Implementation Details,Development Process,,,,,,,,
31,PostHog,posthog,claude,148,https://github.com/PostHog/posthog/blob/master/CLAUDE.md,,,,,,,,,,,,,,,
32,ryanmac,code-conductor,claude,15,https://github.com/ryanmac/code-conductor/blob/HEAD/.conductor/scripts/CLAUDE.md,System Overview,Implementation Details,Architecture,Claude/AI Integration,Development Process,Debugging,Security,Test,Build & Run,Configuration & Environment,Maintanability,,,,
33,LZong-tw,readwise-reader-management,claude,19,https://github.com/LZong-tw/readwise-reader-management/blob/master/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Documentation,Implementation Details,Claude/AI Integration,,,,,,,,
34,docdyhr,mcp-wordpress,claude,13,https://github.com/docdyhr/mcp-wordpress/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Configuration & Environment,Deployment and Operations,Development Process,System Overview,Security,Debugging,,,,,,
35,BeehiveInnovations,zen-mcp-server,claude,525,https://github.com/BeehiveInnovations/zen-mcp-server/blob/main/CLAUDE.md,Build & Run,Development Process,Debugging,Architecture,Configuration & Environment,Test,,,,,,,,,
36,berachain,beacon-kit,claude,29713,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Configuration & Environment,Implementation Details,Development Process,Maintanability,,,,,,,
37,vespa-engine,pyvespa,claude,53,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Debugging,Test,Configuration & Environment,Documentation,Build & Run,Deployment and Operations,,,,,,
38,dynamoose,dynamoose,claude,27,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Build & Run,Implementation Details,Development Process,Test,Documentation,Maintanability,,,,,,,
39,gofiber,fiber,claude,9118,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,Implementation Details,Maintanability,Documentation,Test,Build & Run,,,,,,,,,,
40,Azure,azure-service-operator,copilot-instructions,864,https://github.com/Azure/azure-service-operator/blob/ddf0cd6f6c749822fbaf0218f3750e315dbdce25/.github/instructions/copilot-instructions.md,Claude/AI Integration,Development Process,System Overview,Architecture,Configuration & Environment,Test,Implementation Details,,,,,,,,
41,dsccommunity,SqlServerDsc,claude,312,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,Implementation Details,,,,,,,,,,,,,,
42,ydb-platform,ydb-embedded-ui,copilot-instructions,145,https://github.com/ydb-platform/ydb-embedded-ui/blob/main/.github/copilot-instructions.md,Implementation Details,Claude/AI Integration,System Overview,Architecture,Debugging,Performance,Security,Build & Run,Development Process,Configuration & Environment,Test,UI/UX,Maintanability,,
43,Agoric,agoric-sdk,copilot-instructions,2230,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,Build & Run,Test,Implementation Details,Debugging,Maintanability,,,,,,,,,,
44,Azure,adx-mon,copilot-instructions,38176,https://github.com/Azure/adx-mon/blob/main/.github/copilot-instructions.md,Architecture,System Overview,Implementation Details,Test,Build & Run,Debugging,Performance,Documentation,Deployment and Operations,Configuration & Environment,,,,,
45,Azure,azure-rest-api-specs,copilot-instructions,29,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,Project Management,Claude/AI Integration,Implementation Details,Development Process,Build & Run,,,,,,,,,,
46,zwave-js,zwave-js,copilot-instructions,353,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,Architecture,System Overview,Build & Run,Implementation Details,Test,Development Process,,,,,,,,,
47,timdeschryver,Sandbox,copilot-instructions,874,https://github.com/timdeschryver/Sandbox/blob/main/.github/copilot-instructions.md,Build & Run,Test,Deployment and Operations,Architecture,Implementation Details,Security,Development Process,Maintanability,,,,,,,
48,microsoft,vscode-jupyter,copilot-instructions,23,https://github.com/microsoft/vscode-jupyter/blob/main/.github/copilot-instructions.md,Development Process,Build & Run,Test,Implementation Details,Architecture,Claude/AI Integration,Maintanability,,,,,,,,
49,AzureAD,microsoft-authentication-library-for-dotnet,copilot-instructions,2946,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/blob/main/.github/copilot-instructions.md,,,,,,,,,,,,,,,
50,AzureAD,microsoft-identity-web,copilot-instructions,835,https://github.com/AzureAD/microsoft-identity-web/blob/master/.github/copilot-instructions.md,,,,,,,,,,,,,,,
51,pomerium,mcp-app-demo,copilot-instructions,34,https://github.com/pomerium/mcp-app-demo/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,UI/UX,System Overview,Debugging,Maintanability,,,,,,,,,
52,rjmurillo,moq.analyzers,copilot-instructions,1436,https://github.com/rjmurillo/moq.analyzers/blob/main/.github/copilot-instructions.md,Implementation Details,Build & Run,Test,Development Process,Claude/AI Integration,Project Management,Debugging,Configuration & Environment,Maintanability,,,,,,
53,dotnet,winforms,copilot-instructions,1472,https://github.com/dotnet/winforms/blob/main/.github/copilot-instructions.md,Development Process,Implementation Details,Debugging,Performance,Documentation,UI/UX,Maintanability,,,,,,,,
54,dotnet,efcore,copilot-instructions,747,https://github.com/dotnet/efcore/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,Architecture,Test,Configuration & Environment,Debugging,Performance,System Overview,Documentation,Maintanability,,,,,
55,ZachWatkins,Remarklet,copilot-instructions,53,https://github.com/ZachWatkins/Remarklet/blob/main/.github/copilot-instructions.md,System Overview,Implementation Details,,,,,,,,,,,,,
56,github,gh-gei,copilot-instructions,23,https://github.com/github/gh-gei/blob/main/.github/copilot-instructions.md,Development Process,Architecture,System Overview,Implementation Details,Build & Run,,,,,,,,,,
57,RosegoldMC,rosegold.cr,copilot-instructions,4694,https://github.com/RosegoldMC/rosegold.cr/blob/main/.github/copilot-instructions.md,System Overview,Claude/AI Integration,Configuration & Environment,Development Process,Build & Run,Test,Debugging,Deployment and Operations,Architecture,Documentation,,,,,
58,esphome,esphome-devices,copilot-instructions,14421,https://github.com/esphome/esphome-devices/blob/main/.github/copilot-instructions.md,System Overview,Development Process,Implementation Details,Debugging,Security,Configuration & Environment,,,,,,,,,
59,nbonamy,witsy,copilot-instructions,10,https://github.com/nbonamy/witsy/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Implementation Details,Test,UI/UX,Build & Run,Maintanability,,,,,,,
60,NOAA-EMC,global-workflow,copilot-instructions,92,https://github.com/NOAA-EMC/global-workflow/blob/master/.github/copilot-instructions.md,Claude/AI Integration,System Overview,Build & Run,Configuration & Environment,Architecture,Implementation Details,Development Process,Maintanability,Documentation,Debugging,Test,,,,
61,craft-code-club,blog-c3,copilot-instructions,28,https://github.com/craft-code-club/blog-c3/blob/main/.github/copilot-instructions.md,Claude/AI Integration,System Overview,Implementation Details,Performance,UI/UX,Deployment and Operations,Test,Project Management,,,,,,,
62,shader-slang,slang,copilot-instructions,262,https://github.com/shader-slang/slang/blob/master/.github/copilot-instructions.md,Configuration & Environment,Build & Run,Maintanability,Development Process,Debugging,Test,,,,,,,,,
63,openai,openai-agents-js,agents,1725,https://github.com/openai/openai-agents-js/blob/main/AGENTS.md,Documentation,Architecture,System Overview,Test,Build & Run,Development Process,Claude/AI Integration,,,,,,,,
64,herbie-fp,herbie,agents,825,https://github.com/herbie-fp/herbie/blob/main/AGENTS.md,Test,Project Management,Documentation,Development Process,Performance,,,,,,,,,,
65,bdougie,contributor.info,agents,18,https://github.com/bdougie/contributor.info/blob/main/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Configuration & Environment,,,,,,,,,
66,AustinKelsay,snstr,agents,12,https://github.com/AustinKelsay/snstr/blob/main/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Configuration & Environment,,,,,,,,,
67,iarunsaragadam,ngx-tailwind-flex-ui,agents,7,https://github.com/iarunsaragadam/ngx-tailwind-flex-ui/blob/main/AGENTS.md,System Overview,Test,Implementation Details,Documentation,UI/UX,Maintanability,Development Process,,,,,,,,
68,unclehowell,datro,agents,5,https://github.com/unclehowell/datro/blob/master/AGENTS.md,Claude/AI Integration,Implementation Details,,,,,,,,,,,,,
69,jlowin,fastmcp,agents,19226,https://github.com/jlowin/fastmcp/blob/main/AGENTS.md,System Overview,Test,Architecture,Claude/AI Integration,Development Process,Implementation Details,Debugging,Deployment and Operations,Maintanability,,,,,,
70,SpineEventEngine,core-java,agents,38,https://github.com/SpineEventEngine/core-java/blob/master/AGENTS.md,,,,,,,,,,,,,,,
71,minio,pkg,agents,30,https://github.com/minio/pkg/blob/main/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Security,,,,,,,,,
72,EricLBuehler,mistral.rs,agents,6145,https://github.com/EricLBuehler/mistral.rs/blob/master/AGENTS.md,Architecture,System Overview,Build & Run,Test,Documentation,Deployment and Operations,Maintanability,,,,,,,,
73,eduzen,website,agents,10,https://github.com/eduzen/website/blob/main/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Security,Configuration & Environment,Maintanability,,,,,,,
74,Wroud,foundation,agents,20,https://github.com/Wroud/foundation/blob/main/AGENTS.md,Configuration & Environment,Test,Development Process,,,,,,,,,,,,
75,tecnomanu,agent-rules-kit,agents,25,https://github.com/tecnomanu/agent-rules-kit/blob/main/AGENTS.md,System Overview,Configuration & Environment,Build & Run,Claude/AI Integration,Debugging,,,,,,,,,,
76,whiteducksoftware,flock,agents,70,https://github.com/whiteducksoftware/flock/blob/master/AGENTS.md,System Overview,Architecture,Configuration & Environment,Build & Run,Implementation Details,Deployment and Operations,Development Process,Debugging,Test,Performance,Security,Claude/AI Integration,,,
77,PV-Bhat,vibe-check-mcp-server,agents,265,https://github.com/PV-Bhat/vibe-check-mcp-server/blob/main/AGENTS.md,System Overview,Build & Run,Configuration & Environment,Test,Development Process,,,,,,,,,,
78,stampchain-io,BTCStampsExplorer,agents,11,https://github.com/stampchain-io/BTCStampsExplorer/blob/main/AGENTS.md,System Overview,Architecture,Development Process,Build & Run,Configuration & Environment,Implementation Details,Test,Security,Performance,Maintanability,Debugging,,,,
79,lynx-family,lynx-stack,agents,617,https://github.com/lynx-family/lynx-stack/blob/main/AGENTS.md,System Overview,Build & Run,Test,Documentation,Architecture,Development Process,Configuration & Environment,Maintanability,,,,,,,
80,amplitude,Amplitude-TypeScript,agents,166,https://github.com/amplitude/Amplitude-TypeScript/blob/main/AGENTS.md,Configuration & Environment,Test,Development Process,Maintanability,,,,,,,,,,,
81,thrasher-corp,gocryptotrader,agents,3313,https://github.com/thrasher-corp/gocryptotrader/blob/master/AGENTS.md,,,,,,,,,,,,,,,
82,TypedDevs,bashunit,agents,378,https://github.com/TypedDevs/bashunit/blob/main/AGENTS.md,System Overview,Development Process,Test,,,,,,,,,,,,
83,nodetool-ai,nodetool,agents,127,https://github.com/nodetool-ai/nodetool/blob/main/AGENTS.md,System Overview,Architecture,Configuration & Environment,Build & Run,Test,Development Process,Implementation Details,UI/UX,Maintanability,,,,,,
84,Azure,terraform-azurerm-avm-res-authorization-roleassignment,agents,14,https://github.com/Azure/terraform-azurerm-avm-res-authorization-roleassignment/blob/main/AGENTS.md,System Overview,Development Process,Architecture,Implementation Details,Deployment and Operations,Debugging,Project Management,Configuration & Environment,Claude/AI Integration,Maintanability,Documentation,,,,
85,puemos,hls-downloader,agents,2333,https://github.com/puemos/hls-downloader/blob/master/AGENTS.md,Architecture,Build & Run,Test,Development Process,Implementation Details,Documentation,,,,,,,,,
86,MakePrisms,boardwalkcash,agents,46,https://github.com/MakePrisms/boardwalkcash/blob/master/AGENTS.md,System Overview,Architecture,Build & Run,Test,Implementation Details,,,,,,,,,,
87,naveedanwarbhatti,Self-Citations-Checker,agents,20,https://github.com/naveedanwarbhatti/Self-Citations-Checker/blob/main/AGENTS.md,Build & Run,Configuration & Environment,,,,,,,,,,,,,
88,hotovo,aider-desk,agents,835,https://github.com/hotovo/aider-desk/blob/main/AGENTS.md,Build & Run,Test,Architecture,System Overview,Maintanability,Configuration & Environment,,,,,,,,,
89,adaptive,pops,agents,25,https://github.com/adaptive/pops/blob/main/AGENTS.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Development Process,Security,,,,,,,,
90,BarthPaleologue,CosmosJourneyer,agents,24,https://github.com/BarthPaleologue/CosmosJourneyer/blob/main/AGENTS.md,System Overview,Implementation Details,Development Process,Claude/AI Integration,Test,Maintanability,,,,,,,,,
91,thorek1,MacroModelling.jl,agents,129,https://github.com/thorek1/MacroModelling.jl/blob/main/AGENTS.md,Build & Run,Implementation Details,Test,,,,,,,,,,,,
92,mkht,PSOpenAI,agents,56,https://github.com/mkht/PSOpenAI/blob/main/AGENTS.md,Implementation Details,Test,Documentation,,,,,,,,,,,,
93,UltimateBrent,discord-rod,agents,11,https://github.com/UltimateBrent/discord-rod/blob/master/AGENTS.md,Architecture,Implementation Details,Test,Security,,,,,,,,,,,
94,XOXNO,rs-lending,agents,8,https://github.com/XOXNO/rs-lending/blob/master/AGENTS.md,Architecture,Build & Run,Test,Security,Development Process,Implementation Details,Maintanability,,,,,,,,
95,nounder,effect-start,agents,19,https://github.com/nounder/effect-start/blob/main/AGENTS.md,Implementation Details,Test,,,,,,,,,,,,,
96,elizaOS,autonomous-starter,agents,22,https://github.com/elizaOS/autonomous-starter/blob/main/AGENTS.md,System Overview,Implementation Details,Test,,,,,,,,,,,,
97,zoonk,zoonk,agents,77,https://github.com/zoonk/zoonk/blob/main/AGENTS.md,System Overview,Claude/AI Integration,Architecture,Implementation Details,UI/UX,Documentation,Performance,Maintanability,,,,,,,
98,njfio,fluent_cli,agents,23,https://github.com/njfio/fluent_cli/blob/main/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Security,Configuration & Environment,,,,,,,,
99,vitejs,vite-plugin-react,agents,912,https://github.com/vitejs/vite-plugin-react/blob/main/AGENTS.md,Documentation,Build & Run,Test,Architecture,,,,,,,,,,,
100,rsmp-nordic,rsmp_validator,agents,5,https://github.com/rsmp-nordic/rsmp_validator/blob/main/AGENTS.md,System Overview,Architecture,Implementation Details,Test,Development Process,,,,,,,,,,
101,sooperset,mcp-atlassian,agents,3363,https://github.com/sooperset/mcp-atlassian/blob/main/AGENTS.md,Architecture,Development Process,Implementation Details,Build & Run,,,,,,,,,,,
102,OpenAF,openaf,agents,12,https://github.com/OpenAF/openaf/blob/master/AGENTS.md,Architecture,Build & Run,Test,Implementation Details,Development Process,Configuration & Environment,,,,,,,,,
103,F286,VsHelix,agents,8,https://github.com/F286/VsHelix/blob/master/AGENTS.md,System Overview,Implementation Details,Test,Development Process,Documentation,,,,,,,,,,
104,naveedanwarbhatti,Google-Scholar-Conference-Ranker,agents,19,https://github.com/naveedanwarbhatti/Google-Scholar-Conference-Ranker/blob/main/AGENTS.md,System Overview,Configuration & Environment,Build & Run,,,,,,,,,,,,
105,selfxyz,self,agents,1064,https://github.com/selfxyz/self/blob/main/AGENTS.md,Architecture,Build & Run,Test,Development Process,Deployment and Operations,,,,,,,,,,
106,cartography-cncf,cartography,agents,3590,https://github.com/cartography-cncf/cartography/blob/master/AGENTS.md,Claude/AI Integration,System Overview,Architecture,Implementation Details,Performance,Configuration & Environment,Test,Documentation,Debugging,Maintanability,,,,,
107,kyryl-opens-ml,no-ocr,agents,166,https://github.com/kyryl-opens-ml/no-ocr/blob/main/AGENTS.md,Architecture,Implementation Details,Test,Development Process,Build & Run,,,,,,,,,,
108,Skyvern-AI,skyvern,agents,14637,https://github.com/Skyvern-AI/skyvern/blob/main/AGENTS.md,Architecture,Implementation Details,Development Process,Performance,Security,Debugging,,,,,,,,,
109,bruin-data,bruin,agents,1136,https://github.com/bruin-data/bruin/blob/main/AGENTS.md,System Overview,Architecture,Configuration & Environment,Build & Run,Test,Development Process,Debugging,Documentation,,,,,,,
110,msgbyte,tianji,agents,2793,https://github.com/msgbyte/tianji/blob/master/AGENTS.md,Build & Run,Test,Development Process,Deployment and Operations,Maintanability,,,,,,,,,,
111,faros-ai,airbyte-connectors,agents,122,https://github.com/faros-ai/airbyte-connectors/blob/main/AGENTS.md,Build & Run,Test,Configuration & Environment,Architecture,Implementation Details,Maintanability,,,,,,,,,
112,anderssv,kotlin-htmx,agents,60,https://github.com/anderssv/kotlin-htmx/blob/main/AGENTS.md,Development Process,Architecture,Test,Build & Run,Implementation Details,Documentation,Maintanability,,,,,,,,
