repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_agents,manifest_specific_commit_count,first_manifest_commit_date,comparable_path,source_dataset,lines_of_claude,lines_of_copilot-instructions,ID,total_repo_commits_after_manifest_initialization,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15,ID,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
berachain,beacon-kit,CLAUDE.md,CLAUDE.md,raw/berachain/beacon-kit/CLAUDE.md,https://github.com/berachain/beacon-kit,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,main,312.0,253.0,2024-02-02T19:52:58Z,2025-10-17T11:37:35Z,2025-10-16T15:32:22Z,,3,2025-06-24T15:12:32Z,berachain/beacon-kit/CLAUDE.md,claude,762.0,,126,65,,System Overview,Architecture,Build  & Run,Test,Configuration & Environment,Implementation Details,Development Process,,,,,,,,,126,,System Overview,Architecture,Build  & Run,Test,Configuration & Environment,Implementation Details,Development Process,,,,,,,,
vespa-engine,pyvespa,.github/copilot-instructions.md,copilot-instructions.md,raw/vespa-engine/pyvespa/.github/copilot-instructions.md,https://github.com/vespa-engine/pyvespa,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,master,145.0,42.0,2020-06-10T10:48:27Z,2025-10-13T11:14:43Z,2025-10-15T13:50:24Z,,2,2025-07-29T06:02:40Z,vespa-engine/pyvespa/copilot-instructions.md,copilot-instructions,,134.0,270,85,,System Overview,Architecture,Implementation Details,Debugging,Test,Configuration & Environment,Documentation & References,Build  & Run,,,,,,,,270,,System Overview,Architecture,Implementation Details,Debugging,Test,Configuration & Environment,Documentation & References,Build  & Run,,,,,,,
dynamoose,dynamoose,.github/copilot-instructions.md,copilot-instructions.md,raw/dynamoose/dynamoose/.github/copilot-instructions.md,https://github.com/dynamoose/dynamoose,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,main,2230.0,367.0,2014-02-18T20:24:54Z,2025-10-14T15:07:52Z,2025-10-16T01:18:03Z,,2,2025-05-20T20:51:59Z,dynamoose/dynamoose/copilot-instructions.md,copilot-instructions,,19.0,255,42,,System Overview,Architecture,Build  & Run,Implementation Details,Development Process,,,,,,,,,,,255,,System Overview,Architecture,Build  & Run,Implementation Details,Development Process,,,,,,,,,,
gofiber,fiber,.github/copilot-instructions.md,copilot-instructions.md,raw/gofiber/fiber/.github/copilot-instructions.md,https://github.com/gofiber/fiber,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,main,38176.0,1887.0,2020-01-16T03:59:20Z,2025-10-18T18:12:38Z,2025-10-18T21:28:32Z,,1,2025-07-15T11:02:39Z,gofiber/fiber/copilot-instructions.md,copilot-instructions,,14.0,213,133,,Implementation Details,Maintanability,Documentation & References,,,,,,,,,,,,,213,,Implementation Details,Maintanability,Documentation & References,,,,,,,,,,,,
dsccommunity,SqlServerDsc,.github/copilot-instructions.md,copilot-instructions.md,raw/dsccommunity/SqlServerDsc/.github/copilot-instructions.md,https://github.com/dsccommunity/SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,main,384.0,228.0,2015-04-15T22:43:08Z,2025-10-18T17:40:54Z,2025-10-15T10:51:42Z,,9,2025-03-12T11:41:17Z,dsccommunity/SqlServerDsc/copilot-instructions.md,copilot-instructions,,2.0,203,46,,Implementation Details,Documentation & References,,,,,,,,,,,,,,203,,Implementation Details,Documentation & References,,,,,,,,,,,,,
ydb-platform,ydb-embedded-ui,.github/copilot-instructions.md,copilot-instructions.md,raw/ydb-platform/ydb-embedded-ui/.github/copilot-instructions.md,https://github.com/ydb-platform/ydb-embedded-ui,https://github.com/ydb-platform/ydb-embedded-ui/blob/main/.github/copilot-instructions.md,main,29.0,17.0,2022-02-11T11:51:23Z,2025-10-17T11:26:15Z,2025-10-08T12:31:33Z,,4,2025-07-24T18:16:56Z,ydb-platform/ydb-embedded-ui/copilot-instructions.md,copilot-instructions,,205.0,224,65,,Implementation Details,Claude/AI Integration,System Overview,Architecture,Debugging,Performance,Security,Build  & Run,Development Process,Configuration & Environment,,,,,,224,,Implementation Details,Claude/AI Integration,System Overview,Architecture,Debugging,Performance,Security,Build  & Run,Development Process,Configuration & Environment,,,,,
Agoric,agoric-sdk,.github/copilot-instructions.md,copilot-instructions.md,raw/Agoric/agoric-sdk/.github/copilot-instructions.md,https://github.com/Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,master,353.0,252.0,2019-11-01T15:30:18Z,2025-10-18T22:37:45Z,2025-10-18T19:30:41Z,,1,2025-02-24T21:10:12Z,Agoric/agoric-sdk/copilot-instructions.md,copilot-instructions,,28.0,195,1769,,Build  & Run,Test,Implementation Details,Debugging,,,,,,,,,,,,195,,Build  & Run,Test,Implementation Details,Debugging,,,,,,,,,,,
Azure,azure-service-operator,.github/copilot-instructions.md,copilot-instructions.md,raw/Azure/azure-service-operator/.github/copilot-instructions.md,https://github.com/Azure/azure-service-operator,https://github.com/Azure/azure-service-operator/blob/main/.github/copilot-instructions.md,main,874.0,225.0,2019-07-18T00:44:06Z,2025-10-16T21:52:11Z,2025-10-17T11:36:22Z,,1,2025-08-12T16:08:08Z,Azure/azure-service-operator/copilot-instructions.md,copilot-instructions,,142.0,256,42,,Claude/AI Integration,Development Process,System Overview,Architecture,Configuration & Environment,Test,Documentation & References,,,,,,,,,256,,Claude/AI Integration,Development Process,System Overview,Architecture,Configuration & Environment,Test,Documentation & References,,,,,,,,
Azure,adx-mon,.github/copilot-instructions.md,copilot-instructions.md,raw/Azure/adx-mon/.github/copilot-instructions.md,https://github.com/Azure/adx-mon,https://github.com/Azure/adx-mon/blob/main/.github/copilot-instructions.md,main,23.0,7.0,2023-01-07T01:53:13Z,2025-10-17T14:22:09Z,2025-10-16T17:46:09Z,,2,2025-06-17T18:55:36Z,Azure/adx-mon/copilot-instructions.md,copilot-instructions,,119.0,262,86,,Architecture,System Overview,Implementation Details,Test,Build  & Run,Debugging,Performance,Documentation & References,,,,,,,,262,,Architecture,System Overview,Implementation Details,Test,Build  & Run,Debugging,Performance,Documentation & References,,,,,,,
Azure,azure-rest-api-specs,.github/copilot-instructions.md,copilot-instructions.md,raw/Azure/azure-rest-api-specs/.github/copilot-instructions.md,https://github.com/Azure/azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,main,2946.0,5540.0,2015-07-14T18:37:13Z,2025-10-18T04:00:52Z,2025-10-17T20:31:47Z,,24,2025-05-19T17:34:01Z,Azure/azure-rest-api-specs/copilot-instructions.md,copilot-instructions,,378.0,227,1003,,Project Management,Claude/AI Integration,Implementation Details,Development Process,,,,,,,,,,,,227,,Project Management,Claude/AI Integration,Implementation Details,Development Process,,,,,,,,,,,
zwave-js,zwave-js,.github/copilot-instructions.md,copilot-instructions.md,raw/zwave-js/zwave-js/.github/copilot-instructions.md,https://github.com/zwave-js/zwave-js,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,master,835.0,690.0,2018-03-25T09:25:32Z,2025-10-18T08:52:37Z,2025-10-16T11:41:18Z,,3,2025-06-24T07:47:55Z,zwave-js/zwave-js/copilot-instructions.md,copilot-instructions,,49.0,233,123,,Architecture,System Overview,Build  & Run,Implementation Details,Test,Development Process,,,,,,,,,,233,,Architecture,System Overview,Build  & Run,Implementation Details,Test,Development Process,,,,,,,,,
timdeschryver,Sandbox,.github/copilot-instructions.md,copilot-instructions.md,raw/timdeschryver/Sandbox/.github/copilot-instructions.md,https://github.com/timdeschryver/Sandbox,https://github.com/timdeschryver/Sandbox/blob/main/.github/copilot-instructions.md,main,34.0,13.0,2025-02-01T18:14:00Z,2025-10-18T19:59:01Z,2025-10-18T19:58:20Z,,16,2025-03-11T18:14:45Z,timdeschryver/Sandbox/copilot-instructions.md,copilot-instructions,,165.0,223,133,,Build  & Run,Test,Deployment and Operations,Architecture,Implementation Details,Security,Development Process,,,,,,,,,223,,Build  & Run,Test,Deployment and Operations,Architecture,Implementation Details,Security,Development Process,,,,,,,,
microsoft,vscode-jupyter,.github/copilot-instructions.md,copilot-instructions.md,raw/microsoft/vscode-jupyter/.github/copilot-instructions.md,https://github.com/microsoft/vscode-jupyter,https://github.com/microsoft/vscode-jupyter/blob/main/.github/copilot-instructions.md,main,1436.0,347.0,2020-09-10T23:39:14Z,2025-10-14T11:03:00Z,2025-10-18T03:59:12Z,,10,2025-07-07T08:07:30Z,microsoft/vscode-jupyter/copilot-instructions.md,copilot-instructions,,116.0,247,51,,Development Process,Build  & Run,Test,Implementation Details,Architecture,Documentation & References,,,,,,,,,,247,,Development Process,Build  & Run,Test,Implementation Details,Architecture,Documentation & References,,,,,,,,,
AzureAD,microsoft-authentication-library-for-dotnet,.github/copilot-instructions.md,copilot-instructions.md,raw/AzureAD/microsoft-authentication-library-for-dotnet/.github/copilot-instructions.md,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/blob/main/.github/copilot-instructions.md,main,1472.0,375.0,2015-10-19T18:53:15Z,2025-10-18T01:41:15Z,2025-10-17T18:37:01Z,,1,2025-06-06T16:53:12Z,AzureAD/microsoft-authentication-library-for-dotnet/copilot-instructions.md,copilot-instructions,,1.0,264,67,,Documentation & References,,,,,,,,,,,,,,,264,,Documentation & References,,,,,,,,,,,,,,
AzureAD,microsoft-identity-web,.github/copilot-instructions.md,copilot-instructions.md,raw/AzureAD/microsoft-identity-web/.github/copilot-instructions.md,https://github.com/AzureAD/microsoft-identity-web,https://github.com/AzureAD/microsoft-identity-web/blob/master/.github/copilot-instructions.md,master,747.0,242.0,2020-02-18T01:53:41Z,2025-10-18T23:54:47Z,2025-10-16T22:12:23Z,,2,2025-05-31T04:05:35Z,AzureAD/microsoft-identity-web/copilot-instructions.md,copilot-instructions,,1.0,252,43,,Documentation & References,,,,,,,,,,,,,,,252,,Documentation & References,,,,,,,,,,,,,,
pomerium,mcp-app-demo,.github/copilot-instructions.md,copilot-instructions.md,raw/pomerium/mcp-app-demo/.github/copilot-instructions.md,https://github.com/pomerium/mcp-app-demo,https://github.com/pomerium/mcp-app-demo/blob/main/.github/copilot-instructions.md,main,53.0,5.0,2025-05-22T20:50:21Z,2025-10-16T00:23:17Z,2025-10-16T00:23:21Z,,3,2025-06-28T03:32:41Z,pomerium/mcp-app-demo/copilot-instructions.md,copilot-instructions,,728.0,221,51,,Architecture,Implementation Details,UI/UX,System Overview,Debugging,,,,,,,,,,,221,,Architecture,Implementation Details,UI/UX,System Overview,Debugging,,,,,,,,,,
rjmurillo,moq.analyzers,.github/copilot-instructions.md,copilot-instructions.md,raw/rjmurillo/moq.analyzers/.github/copilot-instructions.md,https://github.com/rjmurillo/moq.analyzers,https://github.com/rjmurillo/moq.analyzers/blob/main/.github/copilot-instructions.md,main,23.0,3.0,2017-11-25T10:34:01Z,2025-10-17T11:02:04Z,2025-10-17T06:51:37Z,,28,2025-05-31T19:35:21Z,rjmurillo/moq.analyzers/copilot-instructions.md,copilot-instructions,,524.0,194,179,,Implementation Details,Build  & Run,Test,Development Process,Claude/AI Integration,Documentation & References,Project Management,Debugging,Configuration & Environment,,,,,,,194,,Implementation Details,Build  & Run,Test,Development Process,Claude/AI Integration,Documentation & References,Project Management,Debugging,Configuration & Environment,,,,,,
dotnet,winforms,.github/copilot-instructions.md,copilot-instructions.md,raw/dotnet/winforms/.github/copilot-instructions.md,https://github.com/dotnet/winforms,https://github.com/dotnet/winforms/blob/main/.github/copilot-instructions.md,main,4694.0,1061.0,2018-10-19T01:54:02Z,2025-10-18T02:54:03Z,2025-10-18T02:54:07Z,,3,2025-02-28T01:59:09Z,dotnet/winforms/copilot-instructions.md,copilot-instructions,,561.0,196,529,,Development Process,Implementation Details,Debugging,Performance,Documentation & References,UI/UX,,,,,,,,,,196,,Development Process,Implementation Details,Debugging,Performance,Documentation & References,UI/UX,,,,,,,,,
dotnet,efcore,.github/copilot-instructions.md,copilot-instructions.md,raw/dotnet/efcore/.github/copilot-instructions.md,https://github.com/dotnet/efcore,https://github.com/dotnet/efcore/blob/main/.github/copilot-instructions.md,main,14421.0,3323.0,2014-01-23T00:52:01Z,2025-10-18T02:07:10Z,2025-10-18T22:30:24Z,,4,2025-05-23T20:46:00Z,dotnet/efcore/copilot-instructions.md,copilot-instructions,,238.0,268,306,,Claude/AI Integration,Implementation Details,Architecture,Test,Configuration & Environment,Debugging,Performance,,,,,,,,,268,,Claude/AI Integration,Implementation Details,Architecture,Test,Configuration & Environment,Debugging,Performance,,,,,,,,
ZachWatkins,Remarklet,.github/copilot-instructions.md,copilot-instructions.md,raw/ZachWatkins/Remarklet/.github/copilot-instructions.md,https://github.com/ZachWatkins/Remarklet,https://github.com/ZachWatkins/Remarklet/blob/main/.github/copilot-instructions.md,main,10.0,2.0,2015-02-25T01:19:46Z,2025-10-06T19:22:19Z,2025-06-07T00:40:58Z,,3,2025-03-21T23:35:07Z,ZachWatkins/Remarklet/copilot-instructions.md,copilot-instructions,,83.0,261,145,,System Overview,Implementation Details,,,,,,,,,,,,,,261,,System Overview,Implementation Details,,,,,,,,,,,,,
github,gh-gei,.github/copilot-instructions.md,copilot-instructions.md,raw/github/gh-gei/.github/copilot-instructions.md,https://github.com/github/gh-gei,https://github.com/github/gh-gei/blob/main/.github/copilot-instructions.md,main,391.0,119.0,2021-10-13T18:27:12Z,2025-10-14T15:18:07Z,2025-10-17T10:09:07Z,,3,2025-06-20T15:50:00Z,github/gh-gei/copilot-instructions.md,copilot-instructions,,27.0,237,104,,Development Process,Architecture,System Overview,Implementation Details,,,,,,,,,,,,237,,Development Process,Architecture,System Overview,Implementation Details,,,,,,,,,,,
RosegoldMC,rosegold.cr,.github/copilot-instructions.md,copilot-instructions.md,raw/RosegoldMC/rosegold.cr/.github/copilot-instructions.md,https://github.com/RosegoldMC/rosegold.cr,https://github.com/RosegoldMC/rosegold.cr/blob/main/.github/copilot-instructions.md,main,28.0,8.0,2022-06-06T01:02:43Z,2025-10-01T16:56:08Z,2025-10-01T16:54:48Z,,2,2025-07-24T13:48:26Z,RosegoldMC/rosegold.cr/copilot-instructions.md,copilot-instructions,,201.0,235,50,,System Overview,Claude/AI Integration,Configuration & Environment,Development Process,Build  & Run,Test,Debugging,Deployment and Operations,,,,,,,,235,,System Overview,Claude/AI Integration,Configuration & Environment,Development Process,Build  & Run,Test,Debugging,Deployment and Operations,,,,,,,
esphome,esphome-devices,.github/copilot-instructions.md,copilot-instructions.md,raw/esphome/esphome-devices/.github/copilot-instructions.md,https://github.com/esphome/esphome-devices,https://github.com/esphome/esphome-devices/blob/main/.github/copilot-instructions.md,main,262.0,744.0,2020-10-24T17:58:07Z,2025-10-18T17:23:50Z,2025-10-18T17:23:55Z,,3,2025-07-03T00:12:11Z,esphome/esphome-devices/copilot-instructions.md,copilot-instructions,,177.0,222,41,,System Overview,Development Process,Implementation Details,Debugging,,,,,,,,,,,,222,,System Overview,Development Process,Implementation Details,Debugging,,,,,,,,,,,
nbonamy,witsy,.github/copilot-instructions.md,copilot-instructions.md,raw/nbonamy/witsy/.github/copilot-instructions.md,https://github.com/nbonamy/witsy,https://github.com/nbonamy/witsy/blob/main/.github/copilot-instructions.md,main,1652.0,144.0,2024-04-25T03:55:22Z,2025-10-18T20:05:14Z,2025-10-18T21:29:38Z,,6,2025-07-17T23:30:28Z,nbonamy/witsy/copilot-instructions.md,copilot-instructions,,114.0,254,346,,System Overview,Architecture,Development Process,Implementation Details,Test,UI/UX,,,,,,,,,,254,,System Overview,Architecture,Development Process,Implementation Details,Test,UI/UX,,,,,,,,,
formbricks,formbricks,.github/copilot-instructions.md,copilot-instructions.md,raw/formbricks/formbricks/.github/copilot-instructions.md,https://github.com/formbricks/formbricks,https://github.com/formbricks/formbricks/blob/main/.github/copilot-instructions.md,main,11422.0,2019.0,2022-06-06T04:25:21Z,2025-10-18T16:28:58Z,2025-10-18T20:13:26Z,,5,2025-04-25T08:13:15Z,formbricks/formbricks/copilot-instructions.md,copilot-instructions,,32.0,251,420,,Test,Claude/AI Integration,Implementation Details,,,,,,,,,,,,,251,,Test,Claude/AI Integration,Implementation Details,,,,,,,,,,,,
craft-code-club,blog-c3,.github/copilot-instructions.md,copilot-instructions.md,raw/craft-code-club/blog-c3/.github/copilot-instructions.md,https://github.com/craft-code-club/blog-c3,https://github.com/craft-code-club/blog-c3/blob/main/.github/copilot-instructions.md,main,11.0,4.0,2025-01-18T23:38:29Z,2025-10-18T12:20:43Z,2025-10-18T12:20:45Z,,1,2025-05-18T13:10:21Z,craft-code-club/blog-c3/copilot-instructions.md,copilot-instructions,,271.0,249,146,,Claude/AI Integration,System Overview,Implementation Details,Performance,Performance,UI/UX,Deployment and Operations,Documentation & References,,,,,,,,249,,Claude/AI Integration,System Overview,Implementation Details,Performance,Performance,UI/UX,Deployment and Operations,Documentation & References,,,,,,,
shader-slang,slang,.github/copilot-instructions.md,copilot-instructions.md,raw/shader-slang/slang/.github/copilot-instructions.md,https://github.com/shader-slang/slang,https://github.com/shader-slang/slang/blob/master/.github/copilot-instructions.md,master,4631.0,360.0,2017-06-09T17:42:49Z,2025-10-18T01:40:48Z,2025-10-19T00:51:52Z,,5,2025-07-02T03:45:02Z,shader-slang/slang/copilot-instructions.md,copilot-instructions,,65.0,214,266,,Configuration & Environment,Build  & Run,Maintanability,Development Process,Debugging,Test,,,,,,,,,,214,,Configuration & Environment,Build  & Run,Maintanability,Development Process,Debugging,Test,,,,,,,,,
aavetis,PRarena,.github/copilot-instructions.md,copilot-instructions.md,raw/aavetis/PRarena/.github/copilot-instructions.md,https://github.com/aavetis/PRarena,https://github.com/aavetis/PRarena/blob/main/.github/copilot-instructions.md,main,289.0,26.0,2025-05-22T17:51:08Z,2025-10-19T00:04:15Z,2025-10-19T00:04:19Z,,1,2025-06-22T19:47:48Z,aavetis/PRarena/copilot-instructions.md,copilot-instructions,,6.0,266,564,,Configuration & Environment,Build  & Run,,,,,,,,,,,,,,266,,Configuration & Environment,Build  & Run,,,,,,,,,,,,,
netz98,n98-magerun2,.github/copilot-instructions.md,copilot-instructions.md,raw/netz98/n98-magerun2/.github/copilot-instructions.md,https://github.com/netz98/n98-magerun2,https://github.com/netz98/n98-magerun2/blob/master/.github/copilot-instructions.md,master,917.0,226.0,2014-10-27T10:38:12Z,2025-10-16T21:03:38Z,2025-10-15T13:45:02Z,,6,2025-05-29T07:54:24Z,netz98/n98-magerun2/copilot-instructions.md,copilot-instructions,,289.0,248,343,,Configuration & Environment,Build  & Run,Test,Development Process,Implementation Details,Documentation & References,Architecture,Deployment and Operations,Debugging,,,,,,,248,,Configuration & Environment,Build  & Run,Test,Development Process,Implementation Details,Documentation & References,Architecture,Deployment and Operations,Debugging,,,,,,
bugsink,bugsink,.github/copilot-instructions.md,copilot-instructions.md,raw/bugsink/bugsink/.github/copilot-instructions.md,https://github.com/bugsink/bugsink,https://github.com/bugsink/bugsink/blob/main/.github/copilot-instructions.md,main,1160.0,58.0,2024-08-21T06:19:56Z,2025-10-10T07:42:12Z,2025-10-18T06:56:24Z,,2,2025-07-29T12:05:18Z,bugsink/bugsink/copilot-instructions.md,copilot-instructions,,59.0,212,52,,Implementation Details,Test,Architecture,UI/UX,Development Process,,,,,,,,,,,212,,Implementation Details,Test,Architecture,UI/UX,Development Process,,,,,,,,,,
