#,repository_owner,repository_name,source_dataset,stargazers_count,total_repo_commits_after_manifest_initialization,Note,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
7,cortesi,musq,agents,7.0,86,,https://github.com/cortesi/musq/blob/main/AGENTS.md,Implementation Details,Claude/AI Integration,Build  & Run,,,,,,,,,,,,
4,Rello,analytics,agents,136.0,212,,https://github.com/Rello/analytics/blob/master/AGENTS.md,Implementation Details,Test,Build  & Run,Debugging,,,,,,,,,,,
3,seasonedcc,remix-forms,agents,515.0,126,,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,Implementation Details,Configuration & Environment,Development Process,System Overview,,,,,,,,,,,
15,mirage335-colossus,ubiquitous_bash,agents,32.0,187,,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,Build  & Run,System Overview,Test,Debugging,,,,,,,,,,,
43,KarlTDebiec,Scinoephile,agents,6.0,99,,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,Documentation & References,Security,Claude/AI Integration,Performance,,,,,,,,,,,
6,blockscout,mcp-server,agents,21.0,100,,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,Test,System Overview,Architecture,Documentation & References,Project Management,,,,,,,,,,
26,BittnerPierre,AI-Agent-Casebook,agents,12.0,139,,https://github.com/BittnerPierre/AI-Agent-Casebook/blob/main/AGENTS.md,Implementation Details,System Overview,Configuration & Environment,,,,,,,,,,,,
13,FarmBot,Farmbot-Web-App,agents,953.0,87,,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,Implementation Details,Test,Build  & Run,Development Process,Configuration & Environment,,,,,,,,,,
21,open5e,open5e-api,agents,173.0,124,,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,Implementation Details,System Overview,Test,UI/UX,,,,,,,,,,,
14,sequinstream,sequin,agents,1693.0,565,,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,Implementation Details,UI/UX,Test,Security,Performance,,,,,,,,,,
10,SwitchbackTech,compass,agents,198.0,145,,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,Test,Documentation & References,Build  & Run,Configuration & Environment,,,,,,,,,,,
37,tracking202,prosper202,agents,11.0,92,,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,Implementation Details,Test,System Overview,Architecture,,,,,,,,,,,
24,LocalSymmetry,lofn,agents,13.0,232,,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,Implementation Details,Test,Configuration & Environment,,,,,,,,,,,,
27,Pirate-Weather,pirate-weather-code,agents,36.0,133,,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,Documentation & References,Security,Debugging,Configuration & Environment,Development Process,,,,,,,,,,
16,samuelstevens,biobench,agents,8.0,98,,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,Build  & Run,Configuration & Environment,Claude/AI Integration,Implementation Details,,,,,,,,,,,
123,Pedal-Intelligence,saypi-userscript,claude,19.0,67,,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,Configuration & Environment,Deployment and Operations,Implementation Details,Build  & Run,Development Process,,,,,,,,,,
102,windmill-labs,windmill,claude,14838.0,837,,https://github.com/windmill-labs/windmill/blob/main/CLAUDE.md,Build  & Run,Implementation Details,System Overview,Test,,,,,,,,,,,
53,sapientpants,sonarqube-mcp-server,claude,97.0,116,,https://github.com/sapientpants/sonarqube-mcp-server/blob/main/CLAUDE.md,System Overview,Configuration & Environment,Test,Architecture,,,,,,,,,,,
77,slick,slick,claude,2667.0,102,,https://github.com/slick/slick/blob/main/CLAUDE.md,Build  & Run,Test,,,,,,,,,,,,,
51,amittell,firewalla-mcp-server,claude,8.0,179,,https://github.com/amittell/firewalla-mcp-server/blob/main/CLAUDE.md,Implementation Details,Build  & Run,Test,Debugging,,,,,,,,,,,
94,meilisearch,meilisearch-mcp,claude,148.0,53,,https://github.com/meilisearch/meilisearch-mcp/blob/main/CLAUDE.md,Implementation Details,Test,Architecture,System Overview,,,,,,,,,,,
135,spylang,spy,claude,515.0,595,,https://github.com/spylang/spy/blob/main/CLAUDE.md,System Overview,Architecture,Test,Build  & Run,Development Process,,,,,,,,,,
175,masc-ucsc,hagent,claude,13.0,163,,https://github.com/masc-ucsc/hagent/blob/main/CLAUDE.md,Implementation Details,Configuration & Environment,Test,Development Process,,,,,,,,,,,
59,ComposioHQ,composio,claude,25800.0,262,,https://github.com/ComposioHQ/composio/blob/master/CLAUDE.md,Development Process,Performance,Debugging,,,,,,,,,,,,
170,gensx-inc,gensx,claude,525.0,253,,https://github.com/gensx-inc/gensx/blob/main/CLAUDE.md,System Overview,Implementation Details,Documentation & References,,,,,,,,,,,,
165,PostHog,posthog,claude,29713.0,5885,,https://github.com/PostHog/posthog/blob/master/CLAUDE.md,System Overview,Architecture,Deployment and Operations,Build  & Run,Configuration & Environment,,,,,,,,,,
156,Sylius,Sylius,claude,8325.0,281,,https://github.com/Sylius/Sylius/blob/master/CLAUDE.md,Implementation Details,Configuration & Environment,,,,,,,,,,,,,
68,docdyhr,mcp-wordpress,claude,53.0,301,,https://github.com/docdyhr/mcp-wordpress/blob/main/CLAUDE.md,Documentation & References,Security,Claude/AI Integration,Architecture,Debugging,,,,,,,,,,
48,BeehiveInnovations,zen-mcp-server,claude,9118.0,370,,https://github.com/BeehiveInnovations/zen-mcp-server/blob/main/CLAUDE.md,Build  & Run,Implementation Details,,,,,,,,,,,,,
152,berachain,beacon-kit,claude,312.0,65,,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,Claude/AI Integration,Configuration & Environment,System Overview,,,,,,,,,,,,
332,vespa-engine,pyvespa,copilot-instructions,145.0,85,,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,Documentation & References,Security,Configuration & Environment,Project Management,,,,,,,,,
314,dynamoose,dynamoose,copilot-instructions,2230.0,42,,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Documentation & References,Security,Implementation Details,Performance,Build  & Run,,,,,,,,,
267,gofiber,fiber,copilot-instructions,38176.0,133,,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,Build  & Run,Test,System Overview,Deployment and Operations,Claude/AI Integration,Configuration & Environment,,,,,,,,,
255,dsccommunity,SqlServerDsc,copilot-instructions,384.0,46,,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Project Management,,,,,,,,,,,,,
279,ydb-platform,ydb-embedded-ui,copilot-instructions,29.0,65,,https://github.com/ydb-platform/ydb-embedded-ui/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,Test,Deployment and Operations,Development Process,Performance,,,,,,,,,
247,Agoric,agoric-sdk,copilot-instructions,353.0,1769,,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,Build  & Run,Test,Debugging,,,,,,,,,,,,
322,Azure,adx-mon,copilot-instructions,23.0,86,,https://github.com/Azure/adx-mon/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,Documentation & References,Security,Project Management,Test,,,,,,,,,
282,Azure,azure-rest-api-specs,copilot-instructions,2946.0,1003,,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,Implementation Details,System Overview,Test,Configuration & Environment,Architecture,Debugging,,,,,,,,,
289,zwave-js,zwave-js,copilot-instructions,835.0,123,,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Configuration & Environment,Security,Test,,,,,,,,,
277,timdeschryver,Sandbox,copilot-instructions,34.0,133,,https://github.com/timdeschryver/Sandbox/blob/main/.github/copilot-instructions.md,Build  & Run,Deployment and Operations,System Overview,Architecture,Configuration & Environment,Implementation Details,,,,,,,,,
303,microsoft,vscode-jupyter,copilot-instructions,1436.0,51,,https://github.com/microsoft/vscode-jupyter/blob/main/.github/copilot-instructions.md,Implementation Details,System Overview,Project Management,Build  & Run,Documentation & References,Architecture,,,,,,,,,
324,AzureAD,microsoft-authentication-library-for-dotnet,copilot-instructions,1472.0,67,No enough,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/blob/main/.github/copilot-instructions.md,,,,,,,,,,,,,,,
311,AzureAD,microsoft-identity-web,copilot-instructions,747.0,43,,https://github.com/AzureAD/microsoft-identity-web/blob/master/.github/copilot-instructions.md,Development Process,Implementation Details,Configuration & Environment,Deployment and Operations,Project Management,Claude/AI Integration,,,,,,,,,
275,pomerium,mcp-app-demo,copilot-instructions,53.0,51,,https://github.com/pomerium/mcp-app-demo/blob/main/.github/copilot-instructions.md,Configuration & Environment,System Overview,Architecture,Implementation Details,Performance,Development Process,,,,,,,,,
246,rjmurillo,moq.analyzers,copilot-instructions,23.0,179,,https://github.com/rjmurillo/moq.analyzers/blob/main/.github/copilot-instructions.md,Implementation Details,Build  & Run,Debugging,Deployment and Operations,System Overview,,,,,,,,,,
248,dotnet,winforms,copilot-instructions,4694.0,529,,https://github.com/dotnet/winforms/blob/main/.github/copilot-instructions.md,Deployment and Operations,Claude/AI Integration,System Overview,Architecture,Implementation Details,Build  & Run,Documentation & References,Configuration & Environment,,,,,,,
329,dotnet,efcore,copilot-instructions,14421.0,306,,https://github.com/dotnet/efcore/blob/main/.github/copilot-instructions.md,System Overview,Documentation & References,Project Management,Security,Implementation Details,,,,,,,,,,
321,ZachWatkins,Remarklet,copilot-instructions,10.0,145,,https://github.com/ZachWatkins/Remarklet/blob/main/.github/copilot-instructions.md,Claude/AI Integration,,,,,,,,,,,,,,
293,github,gh-gei,copilot-instructions,391.0,104,,https://github.com/github/gh-gei/blob/main/.github/copilot-instructions.md,Test,Implementation Details,Claude/AI Integration,System Overview,Configuration & Environment,Documentation & References,,,,,,,,,
291,RosegoldMC,rosegold.cr,copilot-instructions,28.0,50,,https://github.com/RosegoldMC/rosegold.cr/blob/main/.github/copilot-instructions.md,System Overview,Configuration & Environment,Implementation Details,Architecture,Claude/AI Integration,Deployment and Operations,,,,,,,,,
276,esphome,esphome-devices,copilot-instructions,262.0,41,,https://github.com/esphome/esphome-devices/blob/main/.github/copilot-instructions.md,Implementation Details,Build  & Run,System Overview,Architecture,Configuration & Environment,UI/UX,,,,,,,,,
313,nbonamy,witsy,copilot-instructions,1652.0,346,,https://github.com/nbonamy/witsy/blob/main/.github/copilot-instructions.md,Deployment and Operations,System Overview,Build  & Run,Architecture,Implementation Details,Project Management,,,,,,,,,
310,formbricks,formbricks,copilot-instructions,11422.0,420,,https://github.com/formbricks/formbricks/blob/main/.github/copilot-instructions.md,Claude/AI Integration,System Overview,Architecture,Configuration & Environment,Implementation Details,Security,,,,,,,,,
308,craft-code-club,blog-c3,copilot-instructions,11.0,146,,https://github.com/craft-code-club/blog-c3/blob/main/.github/copilot-instructions.md,Implementation Details,Claude/AI Integration,System Overview,Configuration & Environment,Documentation & References,Development Process,,,,,,,,,
268,shader-slang,slang,copilot-instructions,4631.0,266,,https://github.com/shader-slang/slang/blob/master/.github/copilot-instructions.md,Implementation Details,Build  & Run,Project Management,System Overview,Documentation & References,Configuration & Environment,,,,,,,,,
327,aavetis,PRarena,copilot-instructions,289.0,564,,https://github.com/aavetis/PRarena/blob/main/.github/copilot-instructions.md,System Overview,UI/UX,Implementation Details,Architecture,Project Management,Claude/AI Integration,,,,,,,,,
307,netz98,n98-magerun2,copilot-instructions,917.0,343,,https://github.com/netz98/n98-magerun2/blob/master/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,System Overview,Architecture,Configuration & Environment,Documentation & References,,,,,,,,,
266,bugsink,bugsink,copilot-instructions,1160.0,52,,https://github.com/bugsink/bugsink/blob/main/.github/copilot-instructions.md,Build  & Run,Implementation Details,Configuration & Environment,Debugging,System Overview,Test,,,,,,,,,
