row_number,repository_owner,repository_name,file_url,conflicts,total_labels,disagreement_percentage,amy_label_count,tem_label_count,common_label_count,only_in_amy,only_in_tem,common_labels
1,cortesi,musq,https://github.com/cortesi/musq/blob/main/AGENTS.md,6,6,100.0,3,3,0,Development Process; Documentation & References; Test,Build  & Run; Claude/AI Integration; Implementation Details,
2,Rello,analytics,https://github.com/Rello/analytics/blob/master/AGENTS.md,8,8,100.0,4,4,0,Architecture; Claude/AI Integration; Development Process; System Overview,Build  & Run; Debugging; Implementation Details; Test,
3,seasonedcc,remix-forms,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,7,9,77.78,7,4,2,Architecture; Build  & Run; Claude/AI Integration; Debugging; Test,Configuration & Environment; System Overview,Development Process; Implementation Details
5,mirage335-colossus,ubiquitous_bash,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,5,8,62.5,7,4,3,Architecture; Development Process; Documentation & References; Implementation Details,Build  & Run,Debugging; System Overview; Test
6,KarlTDebiec,Scinoephile,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,7,8,87.5,5,4,1,Build  & Run; Development Process; Implementation Details; Test,Claude/AI Integration; Performance; Security,Documentation & References
7,blockscout,mcp-server,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,3,5,60.0,2,5,2,,Documentation & References; Project Management; Test,Architecture; System Overview
8,BittnerPierre,AI-Agent-Casebook,https://github.com/BittnerPierre/AI-Agent-Casebook/blob/main/AGENTS.md,5,6,83.33,4,3,1,Claude/AI Integration; Development Process; Project Management,Configuration & Environment; System Overview,Implementation Details
9,FarmBot,Farmbot-Web-App,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,3,6,50.0,4,5,3,Documentation & References,Configuration & Environment; Development Process,Build  & Run; Implementation Details; Test
10,open5e,open5e-api,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,3,5,60.0,3,4,2,Claude/AI Integration,Test; UI/UX,Implementation Details; System Overview
11,sequinstream,sequin,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,4,6,66.67,3,5,2,Build  & Run,Performance; Security; UI/UX,Implementation Details; Test
13,SwitchbackTech,compass,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,3,6,50.0,5,4,3,Architecture; Implementation Details,Build  & Run,Configuration & Environment; Documentation & References; Test
14,tracking202,prosper202,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,4,8,50.0,8,4,4,Claude/AI Integration; Development Process; Documentation & References; Maintanability,,Architecture; Implementation Details; System Overview; Test
15,LocalSymmetry,lofn,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,6,7,85.71,5,3,1,Architecture; Build  & Run; Deployment and Operations; System Overview,Implementation Details; Test,Configuration & Environment
16,Pirate-Weather,pirate-weather-code,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,8,8,100.0,3,5,0,Implementation Details; Maintanability; Test,Configuration & Environment; Debugging; Development Process; Documentation & References; Security,
17,samuelstevens,biobench,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,7,8,87.5,5,4,1,Architecture; Debugging; Development Process; Test,Build  & Run; Claude/AI Integration; Configuration & Environment,Implementation Details
18,Pedal-Intelligence,saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,7,9,77.78,6,5,2,Architecture; Claude/AI Integration; System Overview; Test,Deployment and Operations; Development Process; Implementation Details,Build  & Run; Configuration & Environment
20,windmill-labs,windmill,https://github.com/windmill-labs/windmill/blob/main/CLAUDE.md,3,5,60.0,3,4,2,Documentation & References,Build  & Run; Test,Implementation Details; System Overview
21,sapientpants,sonarqube-mcp-server,https://github.com/sapientpants/sonarqube-mcp-server/blob/main/CLAUDE.md,4,7,57.14,6,4,3,Claude/AI Integration; Implementation Details; Performance,Test,Architecture; Configuration & Environment; System Overview
22,slick,slick,https://github.com/slick/slick/blob/main/CLAUDE.md,7,9,77.78,9,2,2,Architecture; Claude/AI Integration; Configuration & Environment; Debugging; Development Process; Implementation Details; System Overview,,Build  & Run; Test
25,amittell,firewalla-mcp-server,https://github.com/amittell/firewalla-mcp-server/blob/main/CLAUDE.md,8,12,66.67,12,4,4,Architecture; Claude/AI Integration; Configuration & Environment; Development Process; Documentation & References; Performance; Project Management; System Overview,,Build  & Run; Debugging; Implementation Details; Test
26,meilisearch,meilisearch-mcp,https://github.com/meilisearch/meilisearch-mcp/blob/main/CLAUDE.md,4,7,57.14,6,4,3,Build  & Run; Configuration & Environment; Development Process,Implementation Details,Architecture; System Overview; Test
27,spylang,spy,https://github.com/spylang/spy/blob/main/CLAUDE.md,4,7,57.14,5,5,3,Claude/AI Integration; Implementation Details,Architecture; System Overview,Build  & Run; Development Process; Test
28,masc-ucsc,hagent,https://github.com/masc-ucsc/hagent/blob/main/CLAUDE.md,3,6,50.0,5,4,3,Architecture; Build  & Run,Development Process,Configuration & Environment; Implementation Details; Test
29,ComposioHQ,composio,https://github.com/ComposioHQ/composio/blob/master/CLAUDE.md,10,11,90.91,9,3,1,Architecture; Build  & Run; Configuration & Environment; Documentation & References; Implementation Details; Maintanability; System Overview; Test,Debugging; Performance,Development Process
30,gensx-inc,gensx,https://github.com/gensx-inc/gensx/blob/main/CLAUDE.md,6,8,75.0,7,3,2,Architecture; Build  & Run; Configuration & Environment; Development Process; Test,Documentation & References,Implementation Details; System Overview
31,PostHog,posthog,https://github.com/PostHog/posthog/blob/master/CLAUDE.md,6,6,100.0,1,5,0,Documentation & References,Architecture; Build  & Run; Configuration & Environment; Deployment and Operations; System Overview,
33,Sylius,Sylius,https://github.com/Sylius/Sylius/blob/master/CLAUDE.md,3,3,100.0,1,2,0,Documentation & References,Configuration & Environment; Implementation Details,
34,docdyhr,mcp-wordpress,https://github.com/docdyhr/mcp-wordpress/blob/main/CLAUDE.md,9,11,81.82,8,5,2,Build  & Run; Configuration & Environment; Deployment and Operations; Development Process; System Overview; Test,Claude/AI Integration; Debugging; Documentation & References,Architecture; Security
35,BeehiveInnovations,zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/blob/main/CLAUDE.md,6,7,85.71,6,2,1,Architecture; Configuration & Environment; Debugging; Development Process; Test,Implementation Details,Build  & Run
36,berachain,beacon-kit,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,6,8,75.0,7,3,2,Architecture; Build  & Run; Development Process; Implementation Details; Test,Claude/AI Integration,Configuration & Environment; System Overview
37,vespa-engine,pyvespa,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,8,11,72.73,8,6,3,Architecture; Build  & Run; Debugging; System Overview; Test,Claude/AI Integration; Project Management; Security,Configuration & Environment; Documentation & References; Implementation Details
38,dynamoose,dynamoose,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,7,9,77.78,5,6,2,Architecture; Development Process; System Overview,Claude/AI Integration; Documentation & References; Performance; Security,Build  & Run; Implementation Details
39,gofiber,fiber,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,9,9,100.0,3,6,0,Documentation & References; Implementation Details; Maintanability,Build  & Run; Claude/AI Integration; Configuration & Environment; Deployment and Operations; System Overview; Test,
41,dsccommunity,SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,4,4,100.0,2,2,0,Documentation & References; Implementation Details,Claude/AI Integration; Project Management,
42,ydb-platform,ydb-embedded-ui,https://github.com/ydb-platform/ydb-embedded-ui/blob/main/.github/copilot-instructions.md,8,12,66.67,10,6,4,Architecture; Build  & Run; Configuration & Environment; Debugging; Security; System Overview,Deployment and Operations; Test,Claude/AI Integration; Development Process; Implementation Details; Performance
43,Agoric,agoric-sdk,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,1,4,25.0,4,3,3,Implementation Details,,Build  & Run; Debugging; Test
44,Azure,adx-mon,https://github.com/Azure/adx-mon/blob/main/.github/copilot-instructions.md,8,11,72.73,8,6,3,Architecture; Build  & Run; Debugging; Performance; System Overview,Claude/AI Integration; Project Management; Security,Documentation & References; Implementation Details; Test
45,Azure,azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,8,9,88.89,4,6,1,Claude/AI Integration; Development Process; Project Management,Architecture; Configuration & Environment; Debugging; System Overview; Test,Implementation Details
46,zwave-js,zwave-js,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,4,8,50.0,6,6,4,Build  & Run; Development Process,Configuration & Environment; Security,Architecture; Implementation Details; System Overview; Test
47,timdeschryver,Sandbox,https://github.com/timdeschryver/Sandbox/blob/main/.github/copilot-instructions.md,5,9,55.56,7,6,4,Development Process; Security; Test,Configuration & Environment; System Overview,Architecture; Build  & Run; Deployment and Operations; Implementation Details
48,microsoft,vscode-jupyter,https://github.com/microsoft/vscode-jupyter/blob/main/.github/copilot-instructions.md,4,8,50.0,6,6,4,Development Process; Test,Project Management; System Overview,Architecture; Build  & Run; Documentation & References; Implementation Details
49,AzureAD,microsoft-authentication-library-for-dotnet,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/blob/main/.github/copilot-instructions.md,1,1,100.0,1,0,0,Documentation & References,,
50,AzureAD,microsoft-identity-web,https://github.com/AzureAD/microsoft-identity-web/blob/master/.github/copilot-instructions.md,7,7,100.0,1,6,0,Documentation & References,Claude/AI Integration; Configuration & Environment; Deployment and Operations; Development Process; Implementation Details; Project Management,
51,pomerium,mcp-app-demo,https://github.com/pomerium/mcp-app-demo/blob/main/.github/copilot-instructions.md,5,8,62.5,5,6,3,Debugging; UI/UX,Configuration & Environment; Development Process; Performance,Architecture; Implementation Details; System Overview
52,rjmurillo,moq.analyzers,https://github.com/rjmurillo/moq.analyzers/blob/main/.github/copilot-instructions.md,8,11,72.73,9,5,3,Claude/AI Integration; Configuration & Environment; Development Process; Documentation & References; Project Management; Test,Deployment and Operations; System Overview,Build  & Run; Debugging; Implementation Details
53,dotnet,winforms,https://github.com/dotnet/winforms/blob/main/.github/copilot-instructions.md,10,12,83.33,6,8,2,Debugging; Development Process; Performance; UI/UX,Architecture; Build  & Run; Claude/AI Integration; Configuration & Environment; Deployment and Operations; System Overview,Documentation & References; Implementation Details
54,dotnet,efcore,https://github.com/dotnet/efcore/blob/main/.github/copilot-instructions.md,10,11,90.91,7,5,1,Architecture; Claude/AI Integration; Configuration & Environment; Debugging; Performance; Test,Documentation & References; Project Management; Security; System Overview,Implementation Details
55,ZachWatkins,Remarklet,https://github.com/ZachWatkins/Remarklet/blob/main/.github/copilot-instructions.md,3,3,100.0,2,1,0,Implementation Details; System Overview,Claude/AI Integration,
56,github,gh-gei,https://github.com/github/gh-gei/blob/main/.github/copilot-instructions.md,6,8,75.0,4,6,2,Architecture; Development Process,Claude/AI Integration; Configuration & Environment; Documentation & References; Test,Implementation Details; System Overview
57,RosegoldMC,rosegold.cr,https://github.com/RosegoldMC/rosegold.cr/blob/main/.github/copilot-instructions.md,6,10,60.0,8,6,4,Build  & Run; Debugging; Development Process; Test,Architecture; Implementation Details,Claude/AI Integration; Configuration & Environment; Deployment and Operations; System Overview
58,esphome,esphome-devices,https://github.com/esphome/esphome-devices/blob/main/.github/copilot-instructions.md,6,8,75.0,4,6,2,Debugging; Development Process,Architecture; Build  & Run; Configuration & Environment; UI/UX,Implementation Details; System Overview
59,nbonamy,witsy,https://github.com/nbonamy/witsy/blob/main/.github/copilot-instructions.md,6,9,66.67,6,6,3,Development Process; Test; UI/UX,Build  & Run; Deployment and Operations; Project Management,Architecture; Implementation Details; System Overview
60,formbricks,formbricks,https://github.com/formbricks/formbricks/blob/main/.github/copilot-instructions.md,5,7,71.43,3,6,2,Test,Architecture; Configuration & Environment; Security; System Overview,Claude/AI Integration; Implementation Details
61,craft-code-club,blog-c3,https://github.com/craft-code-club/blog-c3/blob/main/.github/copilot-instructions.md,5,9,55.56,7,6,4,Deployment and Operations; Performance; UI/UX,Configuration & Environment; Development Process,Claude/AI Integration; Documentation & References; Implementation Details; System Overview
62,shader-slang,slang,https://github.com/shader-slang/slang/blob/master/.github/copilot-instructions.md,8,10,80.0,6,6,2,Debugging; Development Process; Maintanability; Test,Documentation & References; Implementation Details; Project Management; System Overview,Build  & Run; Configuration & Environment
4,aavetis,PRarena,https://github.com/aavetis/PRarena/blob/main/.github/copilot-instructions.md,8,8,100.0,2,6,0,Build  & Run; Configuration & Environment,Architecture; Claude/AI Integration; Implementation Details; Project Management; System Overview; UI/UX,
12,netz98,n98-magerun2,https://github.com/netz98/n98-magerun2/blob/master/.github/copilot-instructions.md,7,11,63.64,9,6,4,Build  & Run; Debugging; Deployment and Operations; Development Process; Test,Claude/AI Integration; System Overview,Architecture; Configuration & Environment; Documentation & References; Implementation Details
19,bugsink,bugsink,https://github.com/bugsink/bugsink/blob/main/.github/copilot-instructions.md,7,9,77.78,5,6,2,Architecture; Development Process; UI/UX,Build  & Run; Configuration & Environment; Debugging; System Overview,Implementation Details; Test
23,lbds137,tzurot,https://github.com/lbds137/tzurot/blob/HEAD/src/CLAUDE.md,7,9,77.78,7,4,2,Architecture; Development Process; Implementation Details; Performance; Security,Configuration & Environment; Documentation & References,Debugging; Test
24,tphakala,birdnet-go,https://github.com/tphakala/birdnet-go/blob/HEAD/frontend/src/lib/desktop/components/CLAUDE.md,3,5,60.0,4,3,2,Documentation & References; Test,System Overview,Architecture; Implementation Details
32,ryanmac,code-conductor,https://github.com/ryanmac/code-conductor/blob/HEAD/.conductor/scripts/CLAUDE.md,6,9,66.67,9,3,3,Claude/AI Integration; Debugging; Development Process; Documentation & References; Security; Test,,Architecture; Implementation Details; System Overview
40,Azure,azure-service-operator,https://github.com/Azure/azure-service-operator/blob/ddf0cd6f6c749822fbaf0218f3750e315dbdce25/.github/instructions/copilot-instructions.md,7,8,87.5,7,2,1,Architecture; Claude/AI Integration; Configuration & Environment; Development Process; System Overview; Test,Security,Documentation & References
63,openai,openai-agents-js,https://github.com/openai/openai-agents-js/blob/main/AGENTS.md,4,9,44.44,7,7,5,Architecture; Documentation & References,Configuration & Environment; Implementation Details,Build  & Run; Claude/AI Integration; Development Process; System Overview; Test
64,herbie-fp,herbie,https://github.com/herbie-fp/herbie/blob/main/AGENTS.md,7,9,77.78,4,7,2,Development Process; Project Management,Build  & Run; Claude/AI Integration; Configuration & Environment; Implementation Details; Performance,Documentation & References; Test
65,bdougie,contributor.info,https://github.com/bdougie/contributor.info/blob/main/AGENTS.md,3,8,37.5,6,7,5,Implementation Details,System Overview; UI/UX,Architecture; Build  & Run; Configuration & Environment; Development Process; Test
66,AustinKelsay,snstr,https://github.com/AustinKelsay/snstr/blob/main/AGENTS.md,3,8,37.5,6,7,5,Architecture,Documentation & References; System Overview,Build  & Run; Configuration & Environment; Development Process; Implementation Details; Test
67,iarunsaragadam,ngx-tailwind-flex-ui,https://github.com/iarunsaragadam/ngx-tailwind-flex-ui/blob/main/AGENTS.md,3,8,37.5,6,7,5,Maintanability,Architecture; Claude/AI Integration,Documentation & References; Implementation Details; System Overview; Test; UI/UX
68,unclehowell,datro,https://github.com/unclehowell/datro/blob/master/AGENTS.md,4,7,57.14,3,7,3,,Architecture; Project Management; System Overview; UI/UX,Claude/AI Integration; Documentation & References; Implementation Details
69,jlowin,fastmcp,https://github.com/jlowin/fastmcp/blob/main/AGENTS.md,2,8,25.0,7,7,6,Debugging,Build  & Run,Architecture; Claude/AI Integration; Development Process; Implementation Details; System Overview; Test
70,SpineEventEngine,core-java,https://github.com/SpineEventEngine/core-java/blob/master/AGENTS.md,2,3,66.67,1,3,1,,Claude/AI Integration; Implementation Details,Documentation & References
71,minio,pkg,https://github.com/minio/pkg/blob/main/AGENTS.md,5,9,55.56,6,7,4,Architecture; Security,Claude/AI Integration; Configuration & Environment; Documentation & References,Build  & Run; Development Process; Implementation Details; Test
72,EricLBuehler,mistral.rs,https://github.com/EricLBuehler/mistral.rs/blob/master/AGENTS.md,3,8,37.5,6,7,5,Documentation & References,Claude/AI Integration; Implementation Details,Architecture; Build  & Run; Deployment and Operations; System Overview; Test
73,eduzen,website,https://github.com/eduzen/website/blob/main/AGENTS.md,4,9,44.44,7,7,5,Implementation Details; Security,Deployment and Operations; System Overview,Architecture; Build  & Run; Configuration & Environment; Development Process; Test
74,Wroud,foundation,https://github.com/Wroud/foundation/blob/main/AGENTS.md,7,9,77.78,4,7,2,Development Process; Documentation & References,Build  & Run; Claude/AI Integration; Implementation Details; Project Management; System Overview,Configuration & Environment; Test
75,tecnomanu,agent-rules-kit,https://github.com/tecnomanu/agent-rules-kit/blob/main/AGENTS.md,7,10,70.0,6,7,3,Configuration & Environment; Debugging; Documentation & References,Architecture; Implementation Details; Project Management; UI/UX,Build  & Run; Claude/AI Integration; System Overview
76,whiteducksoftware,flock,https://github.com/whiteducksoftware/flock/blob/master/AGENTS.md,5,11,45.45,10,7,6,Configuration & Environment; Deployment and Operations; Development Process; Documentation & References,Claude/AI Integration,Architecture; Build  & Run; Debugging; Implementation Details; System Overview; Test
77,PV-Bhat,vibe-check-mcp-server,https://github.com/PV-Bhat/vibe-check-mcp-server/blob/main/AGENTS.md,3,7,42.86,4,7,4,,Architecture; Claude/AI Integration; Deployment and Operations,Build  & Run; Configuration & Environment; System Overview; Test
78,stampchain-io,BTCStampsExplorer,https://github.com/stampchain-io/BTCStampsExplorer/blob/main/AGENTS.md,6,11,54.55,9,7,5,Development Process; Performance; Security; Test,Claude/AI Integration; Project Management,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
79,lynx-family,lynx-stack,https://github.com/lynx-family/lynx-stack/blob/main/AGENTS.md,4,9,44.44,7,7,5,Development Process; Documentation & References,Implementation Details; UI/UX,Architecture; Build  & Run; Configuration & Environment; System Overview; Test
80,amplitude,Amplitude-TypeScript,https://github.com/amplitude/Amplitude-TypeScript/blob/main/AGENTS.md,6,8,75.0,3,7,2,Configuration & Environment,Build  & Run; Claude/AI Integration; Documentation & References; Implementation Details; System Overview,Development Process; Test
81,thrasher-corp,gocryptotrader,https://github.com/thrasher-corp/gocryptotrader/blob/master/AGENTS.md,2,2,100.0,1,1,0,Documentation & References,Claude/AI Integration,
82,TypedDevs,bashunit,https://github.com/TypedDevs/bashunit/blob/main/AGENTS.md,5,8,62.5,4,7,3,System Overview,Build  & Run; Implementation Details; Maintanability; Project Management,Development Process; Documentation & References; Test
83,nodetool-ai,nodetool,https://github.com/nodetool-ai/nodetool/blob/main/AGENTS.md,6,11,54.55,9,7,5,Configuration & Environment; Development Process; Documentation & References; Test,Claude/AI Integration; Project Management,Architecture; Build  & Run; Implementation Details; System Overview; UI/UX
84,Azure,terraform-azurerm-avm-res-authorization-roleassignment,https://github.com/Azure/terraform-azurerm-avm-res-authorization-roleassignment/blob/main/AGENTS.md,4,9,44.44,7,7,5,Debugging; Project Management,Documentation & References; Security,Architecture; Deployment and Operations; Development Process; Implementation Details; System Overview
85,puemos,hls-downloader,https://github.com/puemos/hls-downloader/blob/master/AGENTS.md,5,9,55.56,6,7,4,Development Process; Documentation & References,Project Management; System Overview; UI/UX,Architecture; Build  & Run; Implementation Details; Test
86,MakePrisms,boardwalkcash,https://github.com/MakePrisms/boardwalkcash/blob/master/AGENTS.md,2,7,28.57,5,7,5,,Configuration & Environment; UI/UX,Architecture; Build  & Run; Implementation Details; System Overview; Test
87,naveedanwarbhatti,Self-Citations-Checker,https://github.com/naveedanwarbhatti/Self-Citations-Checker/blob/main/AGENTS.md,7,8,87.5,2,7,1,Configuration & Environment,Claude/AI Integration; Deployment and Operations; Documentation & References; Project Management; System Overview; Test,Build  & Run
88,hotovo,aider-desk,https://github.com/hotovo/aider-desk/blob/main/AGENTS.md,5,8,62.5,4,7,3,Test,Claude/AI Integration; Configuration & Environment; Deployment and Operations; Implementation Details,Architecture; Build  & Run; System Overview
89,adaptive,pops,https://github.com/adaptive/pops/blob/main/AGENTS.md,4,9,44.44,7,7,5,Implementation Details; Security,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Development Process; System Overview; Test
90,BarthPaleologue,CosmosJourneyer,https://github.com/BarthPaleologue/CosmosJourneyer/blob/main/AGENTS.md,6,9,66.67,5,7,3,Documentation & References; System Overview,Build  & Run; Configuration & Environment; Performance; Test,Claude/AI Integration; Development Process; Implementation Details
91,thorek1,MacroModelling.jl,https://github.com/thorek1/MacroModelling.jl/blob/main/AGENTS.md,5,7,71.43,2,7,2,,Deployment and Operations; Documentation & References; Performance; Security; Test,Build  & Run; Implementation Details
92,mkht,PSOpenAI,https://github.com/mkht/PSOpenAI/blob/main/AGENTS.md,4,7,57.14,3,7,3,,Architecture; Build  & Run; Claude/AI Integration; System Overview,Documentation & References; Implementation Details; Test
93,UltimateBrent,discord-rod,https://github.com/UltimateBrent/discord-rod/blob/master/AGENTS.md,7,9,77.78,4,7,2,Architecture; Security,Build  & Run; Claude/AI Integration; Development Process; Project Management; System Overview,Implementation Details; Test
94,XOXNO,rs-lending,https://github.com/XOXNO/rs-lending/blob/master/AGENTS.md,6,9,66.67,5,7,3,Architecture; Security,Claude/AI Integration; Configuration & Environment; Deployment and Operations; Implementation Details,Build  & Run; Development Process; Test
95,nounder,effect-start,https://github.com/nounder/effect-start/blob/main/AGENTS.md,5,7,71.43,2,7,2,,Architecture; Build  & Run; Configuration & Environment; Deployment and Operations; System Overview,Implementation Details; Test
96,elizaOS,autonomous-starter,https://github.com/elizaOS/autonomous-starter/blob/main/AGENTS.md,5,7,71.43,2,7,2,,Architecture; Build  & Run; Claude/AI Integration; Documentation & References; Test,Implementation Details; System Overview
97,zoonk,zoonk,https://github.com/zoonk/zoonk/blob/main/AGENTS.md,2,8,25.0,7,7,6,Performance,Test,Architecture; Claude/AI Integration; Documentation & References; Implementation Details; System Overview; UI/UX
98,njfio,fluent_cli,https://github.com/njfio/fluent_cli/blob/main/AGENTS.md,4,9,44.44,7,7,5,Architecture; Security,Deployment and Operations; System Overview,Build  & Run; Configuration & Environment; Development Process; Implementation Details; Test
99,vitejs,vite-plugin-react,https://github.com/vitejs/vite-plugin-react/blob/main/AGENTS.md,4,7,57.14,3,7,3,,Claude/AI Integration; Implementation Details; System Overview; UI/UX,Build  & Run; Documentation & References; Test
100,rsmp-nordic,rsmp_validator,https://github.com/rsmp-nordic/rsmp_validator/blob/main/AGENTS.md,7,9,77.78,4,7,2,Architecture; System Overview,Build  & Run; Configuration & Environment; Debugging; Deployment and Operations; Documentation & References,Implementation Details; Test
101,sooperset,mcp-atlassian,https://github.com/sooperset/mcp-atlassian/blob/main/AGENTS.md,3,7,42.86,4,7,4,,Debugging; System Overview; Test,Architecture; Build  & Run; Development Process; Implementation Details
102,OpenAF,openaf,https://github.com/OpenAF/openaf/blob/master/AGENTS.md,3,8,37.5,6,7,5,Architecture,Claude/AI Integration; Documentation & References,Build  & Run; Configuration & Environment; Development Process; Implementation Details; Test
103,F286,VsHelix,https://github.com/F286/VsHelix/blob/master/AGENTS.md,3,7,42.86,4,7,4,,Build  & Run; Claude/AI Integration; Documentation & References,Development Process; Implementation Details; System Overview; Test
104,naveedanwarbhatti,Google-Scholar-Conference-Ranker,https://github.com/naveedanwarbhatti/Google-Scholar-Conference-Ranker/blob/main/AGENTS.md,6,8,75.0,3,7,2,Configuration & Environment,Claude/AI Integration; Deployment and Operations; Documentation & References; Project Management; Test,Build  & Run; System Overview
105,selfxyz,self,https://github.com/selfxyz/self/blob/main/AGENTS.md,5,8,62.5,4,7,3,Architecture,Claude/AI Integration; Deployment and Operations; Implementation Details; UI/UX,Build  & Run; Development Process; Test
106,cartography-cncf,cartography,https://github.com/cartography-cncf/cartography/blob/master/AGENTS.md,2,9,22.22,9,7,7,Debugging; Documentation & References,,Architecture; Claude/AI Integration; Configuration & Environment; Implementation Details; Performance; System Overview; Test
107,kyryl-opens-ml,no-ocr,https://github.com/kyryl-opens-ml/no-ocr/blob/main/AGENTS.md,7,9,77.78,4,7,2,Development Process; Test,Build  & Run; Claude/AI Integration; Configuration & Environment; System Overview; UI/UX,Architecture; Implementation Details
108,Skyvern-AI,skyvern,https://github.com/Skyvern-AI/skyvern/blob/main/AGENTS.md,5,9,55.56,6,7,4,Performance; Security,Documentation & References; System Overview; Test,Architecture; Debugging; Development Process; Implementation Details
109,bruin-data,bruin,https://github.com/bruin-data/bruin/blob/main/AGENTS.md,6,10,60.0,7,7,4,Architecture; Debugging; System Overview,Claude/AI Integration; Deployment and Operations; Implementation Details,Build  & Run; Configuration & Environment; Development Process; Test
110,msgbyte,tianji,https://github.com/msgbyte/tianji/blob/master/AGENTS.md,5,8,62.5,4,7,3,Documentation & References,Architecture; Configuration & Environment; Implementation Details; System Overview,Build  & Run; Development Process; Test
111,faros-ai,airbyte-connectors,https://github.com/faros-ai/airbyte-connectors/blob/main/AGENTS.md,2,7,28.57,5,7,5,,Claude/AI Integration; System Overview,Architecture; Build  & Run; Configuration & Environment; Implementation Details; Test
112,anderssv,kotlin-htmx,https://github.com/anderssv/kotlin-htmx/blob/main/AGENTS.md,5,9,55.56,6,7,4,Development Process; Documentation & References,Claude/AI Integration; Project Management; System Overview,Architecture; Build  & Run; Implementation Details; Test
113,chainbound,taikoscope,https://github.com/chainbound/taikoscope/blob/main/AGENTS.md,5,8,62.5,4,7,3,Development Process,Architecture; Debugging; Deployment and Operations; System Overview,Build  & Run; Implementation Details; Test
