row_number,repository_owner,repository_name,file_url,conflicts,total_labels,disagreement_percentage,amy_label_count,tem_label_count,common_label_count,only_in_amy,only_in_tem,common_labels
114,andrejvysny,spendly,https://github.com/andrejvysny/spendly/blob/main/AGENTS.md,7,11,63.64,8,7,4,Development Process; Performance; Security; Test,Build  & Run; Configuration & Environment; UI/UX,Architecture; Claude/AI Integration; Implementation Details; System Overview
115,sqlrooms,sqlrooms,https://github.com/sqlrooms/sqlrooms/blob/main/AGENTS.md,5,8,62.5,4,7,3,Test,Claude/AI Integration; Configuration & Environment; Implementation Details; System Overview,Architecture; Build  & Run; Documentation & References
116,KristopherKubicki,glimpser,https://github.com/KristopherKubicki/glimpser/blob/main/AGENTS.md,4,6,66.67,2,6,2,,Build  & Run; System Overview; Test; UI/UX,Development Process; Implementation Details
117,arthurhenrique,cookiecutter-fastapi,https://github.com/arthurhenrique/cookiecutter-fastapi/blob/main/AGENTS.md,5,6,83.33,1,6,1,,Build  & Run; Development Process; Documentation & References; Implementation Details; Security,Test
118,nextcloud,desktop,https://github.com/nextcloud/desktop/blob/master/AGENTS.md,6,8,75.0,3,7,2,Implementation Details,Architecture; Claude/AI Integration; Debugging; Documentation & References; Project Management,Development Process; System Overview
119,kdroidFilter,Platform-Tools,https://github.com/kdroidFilter/Platform-Tools/blob/master/AGENTS.md,2,7,28.57,5,7,5,,Claude/AI Integration; System Overview,Architecture; Build  & Run; Development Process; Implementation Details; Test
120,nornagon,cdda-guide,https://github.com/nornagon/cdda-guide/blob/main/AGENTS.md,5,8,62.5,4,7,3,Architecture,Build  & Run; Claude/AI Integration; Configuration & Environment; Test,Development Process; Implementation Details; System Overview
121,microsoft,mcp-dotnet-samples,https://github.com/microsoft/mcp-dotnet-samples/blob/main/AGENTS.md,4,9,44.44,7,7,5,Architecture; Development Process,Build  & Run; Claude/AI Integration,Configuration & Environment; Deployment and Operations; Implementation Details; System Overview; Test
122,usememos,memos,https://github.com/usememos/memos/blob/main/AGENTS.md,7,10,70.0,6,7,3,Development Process; Security; Test,Configuration & Environment; Deployment and Operations; System Overview; UI/UX,Architecture; Build  & Run; Implementation Details
123,cablehead,xs,https://github.com/cablehead/xs/blob/main/AGENTS.md,6,8,75.0,3,7,2,Maintanability,Build  & Run; Claude/AI Integration; Debugging; Implementation Details; System Overview,Deployment and Operations; Development Process
124,xuyecan,alfred-chathub,https://github.com/xuyecan/alfred-chathub/blob/main/AGENTS.md,5,9,55.56,6,7,4,Development Process; Security,Claude/AI Integration; Configuration & Environment; System Overview,Architecture; Build  & Run; Implementation Details; Test
125,bldrs-ai,Share,https://github.com/bldrs-ai/Share/blob/main/AGENTS.md,3,8,37.5,6,7,5,Debugging,Claude/AI Integration; UI/UX,Architecture; Build  & Run; Implementation Details; System Overview; Test
126,uxlfoundation,oneDAL,https://github.com/uxlfoundation/oneDAL/blob/main/AGENTS.md,5,9,55.56,6,7,4,Claude/AI Integration; Test,Build  & Run; Configuration & Environment; Deployment and Operations,Architecture; Documentation & References; Implementation Details; System Overview
127,swc-project,swc,https://github.com/swc-project/swc/blob/main/AGENTS.md,5,7,71.43,3,6,2,Development Process,Build  & Run; Debugging; Documentation & References; Performance,Implementation Details; Test
128,alexlwn123,LastPayWins,https://github.com/alexlwn123/LastPayWins/blob/main/AGENTS.md,5,8,62.5,4,7,3,Debugging,Architecture; Configuration & Environment; Deployment and Operations; System Overview,Build  & Run; Implementation Details; Test
129,jkroepke,openvpn-auth-oauth2,https://github.com/jkroepke/openvpn-auth-oauth2/blob/main/AGENTS.md,7,8,87.5,2,7,1,Development Process,Architecture; Configuration & Environment; Deployment and Operations; Documentation & References; Implementation Details; Project Management,System Overview
130,cybrota,scharf,https://github.com/cybrota/scharf/blob/main/AGENTS.md,5,7,71.43,2,7,2,,Architecture; Build  & Run; Documentation & References; Security; Test,Development Process; Implementation Details
131,thrasher-,gocryptotrader,https://github.com/thrasher-/gocryptotrader/blob/master/AGENTS.md,2,2,100.0,1,1,0,Documentation & References,Claude/AI Integration,
132,joshuadanpeterson,typewriter.nvim,https://github.com/joshuadanpeterson/typewriter.nvim/blob/main/AGENTS.md,7,9,77.78,4,7,2,Architecture; Development Process,Build  & Run; Claude/AI Integration; Documentation & References; Project Management; System Overview,Implementation Details; Test
133,skip-mev,skip-go,https://github.com/skip-mev/skip-go/blob/main/AGENTS.md,6,11,54.55,9,7,5,Development Process; Documentation & References; Performance; UI/UX,Claude/AI Integration; Project Management,Architecture; Debugging; Implementation Details; System Overview; Test
134,remorses,fumabase,https://github.com/remorses/fumabase/blob/main/AGENTS.md,7,11,63.64,8,7,4,Configuration & Environment; Debugging; Development Process; UI/UX,Architecture; Build  & Run; System Overview,Claude/AI Integration; Documentation & References; Implementation Details; Test
135,MaximiliumM,appearancemenumod,https://github.com/MaximiliumM/appearancemenumod/blob/main/AGENTS.md,7,8,87.5,2,7,1,System Overview,Build  & Run; Claude/AI Integration; Deployment and Operations; Development Process; Documentation & References; Test,Implementation Details
136,RickCarlino,gnutella-bun-client,https://github.com/RickCarlino/gnutella-bun-client/blob/main/AGENTS.md,6,10,60.0,7,7,4,Configuration & Environment; Development Process; Security,Claude/AI Integration; Documentation & References; System Overview,Architecture; Build  & Run; Implementation Details; Test
137,heyverse,hey,https://github.com/heyverse/hey/blob/main/AGENTS.md,5,9,55.56,6,7,4,Development Process; Test,Claude/AI Integration; System Overview; UI/UX,Architecture; Build  & Run; Configuration & Environment; Implementation Details
138,microsoft,mcp,https://github.com/microsoft/mcp/blob/main/AGENTS.md,6,12,50.0,11,7,6,Claude/AI Integration; Debugging; Development Process; Documentation & References; Performance,Deployment and Operations,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview; Test
139,openai,openai-agents-python,https://github.com/openai/openai-agents-python/blob/main/AGENTS.md,4,8,50.0,5,7,4,Architecture,Documentation & References; Implementation Details; System Overview,Build  & Run; Claude/AI Integration; Development Process; Test
140,mazrean,kessoku,https://github.com/mazrean/kessoku/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Documentation & References,Configuration & Environment; Implementation Details,Architecture; Build  & Run; Development Process; System Overview; Test
141,bbfox0703,Mydev-Cheat-Engine-Tables,https://github.com/bbfox0703/Mydev-Cheat-Engine-Tables/blob/main/CLAUDE.md,1,7,14.29,6,7,6,,Performance,Architecture; Claude/AI Integration; Development Process; Documentation & References; Implementation Details; System Overview
142,riffcc,flagship,https://github.com/riffcc/flagship/blob/main/CLAUDE.md,2,7,28.57,5,7,5,,Configuration & Environment; UI/UX,Architecture; Build  & Run; Implementation Details; System Overview; Test
143,getsentry,launchpad,https://github.com/getsentry/launchpad/blob/main/CLAUDE.md,5,10,50.0,8,7,5,Build  & Run; Development Process; Performance,Claude/AI Integration; Deployment and Operations,Architecture; Configuration & Environment; Implementation Details; System Overview; Test
144,ar-io,ar-io-node,https://github.com/ar-io/ar-io-node/blob/main/CLAUDE.md,1,7,14.29,6,7,6,,Build  & Run,Architecture; Deployment and Operations; Documentation & References; Implementation Details; System Overview; Test
145,komura-c,MusiL,https://github.com/komura-c/MusiL/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Architecture; Configuration & Environment,Claude/AI Integration; Implementation Details; UI/UX,Build  & Run; Deployment and Operations; System Overview; Test
146,buger,probe,https://github.com/buger/probe/blob/main/CLAUDE.md,5,10,50.0,8,7,5,Architecture; Performance; Project Management,Build  & Run; Claude/AI Integration,Debugging; Development Process; Implementation Details; System Overview; Test
147,alexanderthclark,Matplotlib-for-Storytellers,https://github.com/alexanderthclark/Matplotlib-for-Storytellers/blob/main/CLAUDE.md,4,8,50.0,5,7,4,Configuration & Environment,Claude/AI Integration; Implementation Details; Project Management,Architecture; Build  & Run; Documentation & References; System Overview
148,Melvynx,saveit.now,https://github.com/Melvynx/saveit.now/blob/main/CLAUDE.md,2,7,28.57,5,7,5,,Implementation Details; System Overview,Architecture; Build  & Run; Configuration & Environment; Deployment and Operations; UI/UX
149,sugyan,claude-code-webui,https://github.com/sugyan/claude-code-webui/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Development Process; Test,Claude/AI Integration; UI/UX,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
150,miurla,morphic,https://github.com/miurla/morphic/blob/main/CLAUDE.md,7,10,70.0,6,7,3,Development Process; Documentation & References; Test,Claude/AI Integration; Deployment and Operations; Implementation Details; System Overview,Architecture; Build  & Run; Configuration & Environment
151,knyga,html2thermal,https://github.com/knyga/html2thermal/blob/master/CLAUDE.md,4,7,57.14,3,7,3,,Architecture; Build  & Run; Project Management; UI/UX,Implementation Details; System Overview; Test
152,Shinyaigeek,shinyaigeek.dev,https://github.com/Shinyaigeek/shinyaigeek.dev/blob/main/CLAUDE.md,8,10,80.0,5,7,2,Architecture; Maintanability; Test,Claude/AI Integration; Configuration & Environment; Implementation Details; System Overview; UI/UX,Build  & Run; Deployment and Operations
153,evmts,tevm-monorepo,https://github.com/evmts/tevm-monorepo/blob/main/CLAUDE.md,2,8,25.0,7,7,6,Development Process,Claude/AI Integration,Build  & Run; Configuration & Environment; Documentation & References; Implementation Details; System Overview; Test
154,ajanraj,OpenChat,https://github.com/ajanraj/OpenChat/blob/main/CLAUDE.md,3,10,30.0,10,7,7,Documentation & References; Maintanability; Performance,,Architecture; Build  & Run; Claude/AI Integration; Implementation Details; System Overview; Test; UI/UX
155,op-rs,kona,https://github.com/op-rs/kona/blob/main/CLAUDE.md,2,7,28.57,5,7,5,,Claude/AI Integration; System Overview,Architecture; Build  & Run; Configuration & Environment; Implementation Details; Test
156,reinier,dotfiles,https://github.com/reinier/dotfiles/blob/main/CLAUDE.md,4,8,50.0,5,7,4,Build  & Run,Claude/AI Integration; Configuration & Environment; Implementation Details,Architecture; Project Management; System Overview; Test
157,basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Build  & Run; Development Process,Configuration & Environment; Performance,Architecture; Claude/AI Integration; Implementation Details; System Overview; Test
158,SecDev-Lab,sprout,https://github.com/SecDev-Lab/sprout/blob/main/CLAUDE.md,4,8,50.0,5,7,4,Build  & Run,Implementation Details; Project Management; System Overview,Claude/AI Integration; Development Process; Documentation & References; Test
159,safety-research,safety-tooling,https://github.com/safety-research/safety-tooling/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Debugging; Development Process,Configuration & Environment; Documentation & References,Architecture; Claude/AI Integration; Implementation Details; System Overview; Test
160,basher83,ProxmoxMCP,https://github.com/basher83/ProxmoxMCP/blob/main/CLAUDE.md,7,11,63.64,8,7,4,Architecture; Debugging; Development Process; Performance,Claude/AI Integration; Configuration & Environment; System Overview,Build  & Run; Implementation Details; Security; Test
161,yuneco,canvas-draw-styled-text,https://github.com/yuneco/canvas-draw-styled-text/blob/main/CLAUDE.md,3,7,42.86,4,7,4,,Claude/AI Integration; Implementation Details; UI/UX,Architecture; Build  & Run; System Overview; Test
162,ryanaidilp,stadata_flutter_sdk,https://github.com/ryanaidilp/stadata_flutter_sdk/blob/main/CLAUDE.md,5,10,50.0,8,7,5,Configuration & Environment; Development Process; Project Management,Claude/AI Integration; Documentation & References,Architecture; Build  & Run; Implementation Details; System Overview; Test
163,amun-ai,hypha,https://github.com/amun-ai/hypha/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Development Process; Documentation & References,Claude/AI Integration; Configuration & Environment; Deployment and Operations,Architecture; Implementation Details; Security; System Overview
164,langchain-ai,langchain,https://github.com/langchain-ai/langchain/blob/master/CLAUDE.md,7,11,63.64,8,7,4,Development Process; Documentation & References; Maintanability; Security,Claude/AI Integration; Configuration & Environment; System Overview,Architecture; Build  & Run; Implementation Details; Test
165,lfnovo,esperanto,https://github.com/lfnovo/esperanto/blob/main/CLAUDE.md,7,8,87.5,2,7,1,Development Process,Build  & Run; Claude/AI Integration; Documentation & References; Implementation Details; Project Management; Test,System Overview
166,elizaOS,eliza,https://github.com/elizaOS/eliza/blob/main/CLAUDE.md,5,11,45.45,10,7,6,Debugging; Development Process; Documentation & References; Maintanability,Claude/AI Integration,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview; Test
167,linksort,linksort,https://github.com/linksort/linksort/blob/main/CLAUDE.md,7,10,70.0,6,7,3,Architecture; Documentation & References; Test,Claude/AI Integration; Deployment and Operations; Implementation Details; UI/UX,Build  & Run; Configuration & Environment; System Overview
168,MCPJam,inspector,https://github.com/MCPJam/inspector/blob/main/CLAUDE.md,7,10,70.0,6,7,3,Documentation & References; Maintanability; Security,Claude/AI Integration; Configuration & Environment; Debugging; Test,Architecture; Build  & Run; System Overview
169,sorryhyun,DiPeO,https://github.com/sorryhyun/DiPeO/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Debugging; Development Process,Configuration & Environment; Implementation Details,Architecture; Build  & Run; Claude/AI Integration; Documentation & References; System Overview
170,FluidGroup,Brightroom,https://github.com/FluidGroup/Brightroom/blob/main/CLAUDE.md,4,8,50.0,5,7,4,Development Process,Implementation Details; Project Management; Test,Architecture; Build  & Run; System Overview; UI/UX
171,stid,Apple1JS,https://github.com/stid/Apple1JS/blob/master/CLAUDE.md,6,10,60.0,7,7,4,Claude/AI Integration; Debugging; Documentation & References,Architecture; Implementation Details; System Overview,Build  & Run; Development Process; Project Management; Test
172,aaronjmars,tweazy,https://github.com/aaronjmars/tweazy/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Security; Test,Claude/AI Integration; Documentation & References; Implementation Details,Architecture; Build  & Run; Configuration & Environment; System Overview
173,bitsacco,os,https://github.com/bitsacco/os/blob/main/CLAUDE.md,4,7,57.14,3,7,3,,Configuration & Environment; Development Process; Documentation & References; System Overview,Build  & Run; Implementation Details; Test
174,bdougie,contributor.info,https://github.com/bdougie/contributor.info/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Documentation & References; Project Management,Architecture; Test; UI/UX,Build  & Run; Configuration & Environment; Implementation Details; System Overview
175,Veloera,Veloera,https://github.com/Veloera/Veloera/blob/main/CLAUDE.md,6,8,75.0,3,7,2,Test,Architecture; Claude/AI Integration; Deployment and Operations; System Overview; UI/UX,Build  & Run; Implementation Details
176,d-kimuson,claude-crew,https://github.com/d-kimuson/claude-crew/blob/main/CLAUDE.md,4,7,57.14,3,7,3,,Claude/AI Integration; Configuration & Environment; Debugging; Development Process,Build  & Run; Implementation Details; Test
177,Clarity-Digital-Twin,big-mood-detector,https://github.com/Clarity-Digital-Twin/big-mood-detector/blob/main/CLAUDE.md,8,11,72.73,7,7,3,Architecture; Debugging; Development Process; Performance,Claude/AI Integration; Configuration & Environment; Deployment and Operations; Implementation Details,Build  & Run; System Overview; Test
178,cloudposse,atmos,https://github.com/cloudposse/atmos/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Development Process,Configuration & Environment; Deployment and Operations,Architecture; Build  & Run; Implementation Details; System Overview; Test
179,moosefs,pve-moosefs,https://github.com/moosefs/pve-moosefs/blob/main/CLAUDE.md,3,7,42.86,4,7,4,,Configuration & Environment; Documentation & References; System Overview,Build  & Run; Development Process; Implementation Details; Test
180,Medo42,Faucet-Lobby,https://github.com/Medo42/Faucet-Lobby/blob/master/CLAUDE.md,7,9,77.78,4,7,2,Build  & Run; Development Process,Architecture; Configuration & Environment; Deployment and Operations; System Overview; UI/UX,Claude/AI Integration; Implementation Details
181,serendie,serendie,https://github.com/serendie/serendie/blob/main/CLAUDE.md,4,8,50.0,5,7,4,Test,Claude/AI Integration; Configuration & Environment; Implementation Details,Architecture; Build  & Run; System Overview; UI/UX
182,ThreatFlux,githubWorkFlowChecker,https://github.com/ThreatFlux/githubWorkFlowChecker/blob/main/CLAUDE.md,7,9,77.78,4,7,2,Architecture; System Overview,Claude/AI Integration; Configuration & Environment; Development Process; Implementation Details; Security,Build  & Run; Test
183,vgijssel,setup,https://github.com/vgijssel/setup/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Architecture; Maintanability,Documentation & References; Project Management; System Overview,Build  & Run; Configuration & Environment; Deployment and Operations; Implementation Details
184,waldzellai,adk-typescript,https://github.com/waldzellai/adk-typescript/blob/main/CLAUDE.md,5,8,62.5,4,7,3,Architecture,Claude/AI Integration; Configuration & Environment; Debugging; System Overview,Build  & Run; Implementation Details; Test
185,TrueCrimeAudit,ClautoHotkey,https://github.com/TrueCrimeAudit/ClautoHotkey/blob/main/CLAUDE.md,3,7,42.86,4,7,4,,Claude/AI Integration; Configuration & Environment; Test,Architecture; Development Process; Implementation Details; System Overview
186,quantified-uncertainty,roast-my-post,https://github.com/quantified-uncertainty/roast-my-post/blob/main/CLAUDE.md,5,10,50.0,8,7,5,Documentation & References; Security; Test,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Development Process; Implementation Details; System Overview
187,deeeed,expo-audio-stream,https://github.com/deeeed/expo-audio-stream/blob/main/CLAUDE.md,7,8,87.5,2,7,1,Architecture,Build  & Run; Claude/AI Integration; Configuration & Environment; Implementation Details; Test; UI/UX,System Overview
188,hedoluna,fft,https://github.com/hedoluna/fft/blob/main/CLAUDE.md,3,9,33.33,8,7,6,Debugging; Deployment and Operations,Claude/AI Integration,Architecture; Build  & Run; Implementation Details; Performance; System Overview; Test
189,syntaxfm,website,https://github.com/syntaxfm/website/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Development Process; UI/UX,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Implementation Details; System Overview; Test
190,pedramamini,RewindMCP,https://github.com/pedramamini/RewindMCP/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Build  & Run; Development Process,Claude/AI Integration; Deployment and Operations,Architecture; Configuration & Environment; Implementation Details; System Overview; Test
191,anyproto,anytype-raycast,https://github.com/anyproto/anytype-raycast/blob/main/CLAUDE.md,3,7,42.86,4,7,4,,Claude/AI Integration; Configuration & Environment; System Overview,Architecture; Build  & Run; Implementation Details; Test
192,promptfoo,promptfoo,https://github.com/promptfoo/promptfoo/blob/main/CLAUDE.md,6,8,75.0,3,7,2,Architecture,Configuration & Environment; Development Process; Implementation Details; System Overview; Test,Build  & Run; Claude/AI Integration
193,ruvnet,claude-flow,https://github.com/ruvnet/claude-flow/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Development Process; Documentation & References,Architecture; Performance; Project Management,Build  & Run; Claude/AI Integration; Implementation Details; System Overview
194,hivesolutions,appier,https://github.com/hivesolutions/appier/blob/master/CLAUDE.md,6,9,66.67,5,7,3,Maintanability; Test,Build  & Run; Claude/AI Integration; Documentation & References; System Overview,Architecture; Configuration & Environment; Implementation Details
195,avalan-ai,avalan,https://github.com/avalan-ai/avalan/blob/main/CLAUDE.md,5,8,62.5,4,7,3,Development Process,Claude/AI Integration; Configuration & Environment; Implementation Details; Performance,Architecture; Build  & Run; Test
196,shopware,shopware-cli,https://github.com/shopware/shopware-cli/blob/main/CLAUDE.md,7,10,70.0,6,7,3,Architecture; Debugging; Development Process,Claude/AI Integration; Implementation Details; Project Management; System Overview,Build  & Run; Configuration & Environment; Test
197,nyvyn,helpful.computer,https://github.com/nyvyn/helpful.computer/blob/main/CLAUDE.md,2,8,25.0,7,7,6,Development Process,Claude/AI Integration,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview; Test
198,cablehead,http-nu,https://github.com/cablehead/http-nu/blob/main/CLAUDE.md,6,8,75.0,3,7,2,Maintanability,Build  & Run; Claude/AI Integration; Debugging; Implementation Details; Test,Deployment and Operations; Development Process
199,reown-com,blockchain-api,https://github.com/reown-com/blockchain-api/blob/main/CLAUDE.md,2,7,28.57,5,7,5,,Claude/AI Integration; Implementation Details,Architecture; Build  & Run; Configuration & Environment; System Overview; Test
200,pathintegral-institute,mcpm.sh,https://github.com/pathintegral-institute/mcpm.sh/blob/main/CLAUDE.md,6,8,75.0,3,7,2,Configuration & Environment,Build  & Run; Claude/AI Integration; Project Management; System Overview; Test,Development Process; Implementation Details
201,Data-Simply,pyretailscience,https://github.com/Data-Simply/pyretailscience/blob/main/CLAUDE.md,4,7,57.14,3,7,3,,Architecture; Development Process; Documentation & References; System Overview,Build  & Run; Implementation Details; Test
202,GaloyMoney,lana-bank,https://github.com/GaloyMoney/lana-bank/blob/main/CLAUDE.md,4,7,57.14,3,7,3,,Architecture; Debugging; System Overview; UI/UX,Build  & Run; Implementation Details; Test
203,deref,transcript,https://github.com/deref/transcript/blob/main/CLAUDE.md,3,6,50.0,3,6,3,,Implementation Details; Project Management; System Overview,Build  & Run; Documentation & References; Test
204,xlnfinance,xln,https://github.com/xlnfinance/xln/blob/main/CLAUDE.md,4,10,40.0,9,7,6,Claude/AI Integration; Performance; Security,Configuration & Environment,Architecture; Build  & Run; Debugging; Implementation Details; System Overview; Test
205,antimetal,system-agent,https://github.com/antimetal/system-agent/blob/main/CLAUDE.md,8,13,61.54,11,7,5,Architecture; Configuration & Environment; Debugging; Documentation & References; Security; System Overview,Deployment and Operations; Implementation Details,Build  & Run; Claude/AI Integration; Development Process; Performance; Test
206,0x-j,aptos-full-stack-template,https://github.com/0x-j/aptos-full-stack-template/blob/main/CLAUDE.md,6,9,66.67,5,7,3,Development Process; Test,Build  & Run; Deployment and Operations; Implementation Details; UI/UX,Architecture; Configuration & Environment; System Overview
207,ithacaxyz,account,https://github.com/ithacaxyz/account/blob/main/CLAUDE.md,8,11,72.73,7,7,3,Claude/AI Integration; Configuration & Environment; Debugging; Security,Architecture; Development Process; Project Management; System Overview,Build  & Run; Implementation Details; Test
208,Azure,fleet,https://github.com/Azure/fleet/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Development Process,Claude/AI Integration; Deployment and Operations,Architecture; Build  & Run; Implementation Details; System Overview; Test
209,ktaka-ccmp,oauth2-passkey,https://github.com/ktaka-ccmp/oauth2-passkey/blob/master/CLAUDE.md,3,8,37.5,6,7,5,Development Process,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Implementation Details; System Overview; Test
210,twentyhq,twenty,https://github.com/twentyhq/twenty/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Development Process,Configuration & Environment; Deployment and Operations,Architecture; Build  & Run; Implementation Details; System Overview; Test
211,alchemiststudiosDOTai,tinyAgent,https://github.com/alchemiststudiosDOTai/tinyAgent/blob/master/CLAUDE.md,3,9,33.33,8,7,6,Configuration & Environment; Debugging,System Overview,Architecture; Build  & Run; Claude/AI Integration; Development Process; Implementation Details; Test
212,johnlindquist,get-rules,https://github.com/johnlindquist/get-rules/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Test,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Deployment and Operations; Implementation Details; System Overview
213,OpenCut-app,OpenCut,https://github.com/OpenCut-app/OpenCut/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Development Process,Project Management; UI/UX,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
214,shunkakinoki,dotfiles,https://github.com/shunkakinoki/dotfiles/blob/main/CLAUDE.md,6,11,54.55,9,7,5,Architecture; Deployment and Operations; Documentation & References; Test,Claude/AI Integration; Project Management,Build  & Run; Configuration & Environment; Development Process; Implementation Details; System Overview
215,invokable,laravel-bluesky,https://github.com/invokable/laravel-bluesky/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Debugging; Test,Claude/AI Integration; Security,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
216,alestic,abc,https://github.com/alestic/abc/blob/main/CLAUDE.md,2,7,28.57,5,7,5,,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Implementation Details; System Overview; Test
217,jdx,mise,https://github.com/jdx/mise/blob/main/CLAUDE.md,3,9,33.33,8,7,6,Debugging; Documentation & References,Project Management,Architecture; Build  & Run; Configuration & Environment; Development Process; Implementation Details; Test
218,Nantero1,ai-first-devops-toolkit,https://github.com/Nantero1/ai-first-devops-toolkit/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Documentation & References; System Overview,Claude/AI Integration; Configuration & Environment,Architecture; Build  & Run; Deployment and Operations; Implementation Details; Test
219,pomerium,mcp-app-demo,https://github.com/pomerium/mcp-app-demo/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Test,Deployment and Operations; UI/UX,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
220,juanibiapina,dotfiles,https://github.com/juanibiapina/dotfiles/blob/main/CLAUDE.md,3,7,42.86,4,7,4,,Build  & Run; Claude/AI Integration; Implementation Details,Architecture; Configuration & Environment; Development Process; System Overview
221,ubie-oss,slack-mcp-server,https://github.com/ubie-oss/slack-mcp-server/blob/main/CLAUDE.md,3,8,37.5,6,7,5,Test,Claude/AI Integration; Documentation & References,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
222,jakub-k-slys,substack-api,https://github.com/jakub-k-slys/substack-api/blob/main/CLAUDE.md,5,8,62.5,4,7,3,Development Process,Claude/AI Integration; Documentation & References; Implementation Details; System Overview,Architecture; Build  & Run; Test
223,kesslerio,attio-mcp-server,https://github.com/kesslerio/attio-mcp-server/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Deployment and Operations; Documentation & References,Build  & Run; Implementation Details,Claude/AI Integration; Debugging; Development Process; System Overview; Test
224,blokadaorg,blokada,https://github.com/blokadaorg/blokada/blob/main/CLAUDE.md,5,9,55.56,6,7,4,Architecture; Development Process,Configuration & Environment; Debugging; Deployment and Operations,Build  & Run; Implementation Details; System Overview; Test
225,kajidog,mcp-tts-voicevox,https://github.com/kajidog/mcp-tts-voicevox/blob/main/CLAUDE.md,4,9,44.44,7,7,5,Development Process; Test,Claude/AI Integration; Deployment and Operations,Architecture; Build  & Run; Configuration & Environment; Implementation Details; System Overview
226,buster-so,buster,https://github.com/buster-so/buster/blob/main/CLAUDE.md,2,8,25.0,7,7,6,Development Process,System Overview,Architecture; Build  & Run; Claude/AI Integration; Configuration & Environment; Implementation Details; Test
